inventory_key,product_key,date_key,location_key,stock_level,stock_in,stock_out,created_at
82,93,2024-03-07,174,10,107,97,2025-07-23 23:42:36.314443
83,1311,2022-05-05,183,87,117,30,2025-07-23 23:42:36.315564
84,1318,2024-10-04,55,20,99,79,2025-07-23 23:42:36.316563
85,44,2023-02-04,88,264,396,132,2025-07-23 23:42:36.317469
86,652,2024-02-15,37,37,85,48,2025-07-23 23:42:36.318362
87,645,2023-09-07,148,105,111,6,2025-07-23 23:42:36.319269
88,93,2022-08-22,177,33,117,84,2025-07-23 23:42:36.320235
89,1298,2022-04-25,58,387,468,81,2025-07-23 23:42:36.321143
90,286,2023-12-01,142,228,479,251,2025-07-23 23:42:36.322083
91,1468,2022-12-29,6,15,34,19,2025-07-23 23:42:36.323108
92,1161,2022-09-23,192,131,475,344,2025-07-23 23:42:36.324074
93,960,2022-12-18,31,308,326,18,2025-07-23 23:42:36.324935
94,1445,2024-10-28,75,160,362,202,2025-07-23 23:42:36.325787
95,465,2023-04-18,156,221,472,251,2025-07-23 23:42:36.326629
96,800,2022-02-23,139,54,278,224,2025-07-23 23:42:36.327488
97,563,2022-08-23,68,217,304,87,2025-07-23 23:42:36.328358
98,510,2023-11-11,131,257,385,128,2025-07-23 23:42:36.329263
99,1421,2024-12-28,221,64,496,432,2025-07-23 23:42:36.330139
100,805,2022-02-25,135,217,310,93,2025-07-23 23:42:36.330988
101,646,2022-09-29,143,81,89,8,2025-07-23 23:42:36.331843
102,1080,2024-04-01,14,115,202,87,2025-07-23 23:42:36.332686
103,1384,2023-08-03,131,30,164,134,2025-07-23 23:42:36.333555
104,1134,2024-02-17,72,111,395,284,2025-07-23 23:42:36.334447
105,1292,2023-04-03,22,241,480,239,2025-07-23 23:42:36.335314
106,1039,2024-10-10,14,22,95,73,2025-07-23 23:42:36.336238
107,755,2024-12-07,109,206,352,146,2025-07-23 23:42:36.337266
108,1253,2024-01-03,226,55,100,45,2025-07-23 23:42:36.338346
109,110,2022-07-29,29,57,83,26,2025-07-23 23:42:36.339445
110,1276,2024-09-08,1,47,208,161,2025-07-23 23:42:36.340519
111,1435,2024-11-23,5,408,465,57,2025-07-23 23:42:36.341654
112,55,2023-12-23,183,12,24,12,2025-07-23 23:42:36.343912
113,445,2022-06-07,202,284,427,143,2025-07-23 23:42:36.345065
114,44,2023-09-03,135,10,72,62,2025-07-23 23:42:36.346135
115,27,2023-05-29,207,52,57,5,2025-07-23 23:42:36.347262
116,1267,2024-02-27,68,14,63,49,2025-07-23 23:42:36.348360
117,1014,2024-10-07,166,440,458,18,2025-07-23 23:42:36.349470
118,1004,2024-05-13,93,311,382,71,2025-07-23 23:42:36.350577
119,1333,2024-04-20,49,189,422,233,2025-07-23 23:42:36.351664
120,747,2022-06-12,108,5,457,452,2025-07-23 23:42:36.352656
121,1492,2022-12-30,88,286,355,69,2025-07-23 23:42:36.353378
122,1372,2024-05-04,1,359,405,46,2025-07-23 23:42:36.354131
123,834,2022-12-03,123,61,149,88,2025-07-23 23:42:36.354742
124,500,2024-08-08,117,48,221,173,2025-07-23 23:42:36.355491
125,794,2024-02-06,52,183,436,253,2025-07-23 23:42:36.356438
126,632,2022-02-15,219,155,251,96,2025-07-23 23:42:36.357436
127,1385,2023-10-24,127,120,287,167,2025-07-23 23:42:36.358463
128,57,2022-08-23,93,22,28,6,2025-07-23 23:42:36.359347
129,668,2023-01-22,212,82,444,362,2025-07-23 23:42:36.360218
130,792,2023-05-18,159,94,105,11,2025-07-23 23:42:36.361073
131,1359,2024-06-17,163,36,63,27,2025-07-23 23:42:36.361949
132,1420,2023-11-10,243,228,348,120,2025-07-23 23:42:36.362783
133,1205,2022-12-10,154,48,365,317,2025-07-23 23:42:36.363738
134,420,2024-09-17,208,33,96,63,2025-07-23 23:42:36.364785
135,465,2024-01-08,152,101,139,38,2025-07-23 23:42:36.365849
136,538,2022-05-26,111,86,343,257,2025-07-23 23:42:36.366874
137,79,2023-08-28,240,61,242,181,2025-07-23 23:42:36.367937
138,295,2023-10-06,173,403,496,93,2025-07-23 23:42:36.368997
139,658,2022-09-20,250,72,295,223,2025-07-23 23:42:36.369900
140,813,2024-06-10,233,130,148,18,2025-07-23 23:42:36.370790
141,1273,2023-11-22,64,380,420,40,2025-07-23 23:42:36.371653
142,542,2022-10-10,55,20,27,7,2025-07-23 23:42:36.372594
143,1481,2024-05-08,104,13,251,238,2025-07-23 23:42:36.373481
144,566,2022-10-14,201,421,498,77,2025-07-23 23:42:36.374403
145,1423,2022-05-06,193,95,283,188,2025-07-23 23:42:36.375309
146,1147,2023-11-28,242,122,150,28,2025-07-23 23:42:36.376192
147,27,2024-04-09,162,7,122,115,2025-07-23 23:42:36.377093
148,1163,2022-06-19,50,43,341,298,2025-07-23 23:42:36.377994
149,672,2023-12-22,107,67,118,51,2025-07-23 23:42:36.378936
150,628,2023-11-05,141,104,118,14,2025-07-23 23:42:36.379803
151,706,2024-07-18,176,79,330,251,2025-07-23 23:42:36.380665
152,1069,2022-07-24,170,99,386,287,2025-07-23 23:42:36.381983
153,1193,2024-12-18,209,197,268,71,2025-07-23 23:42:36.383203
154,1249,2024-06-19,154,22,291,269,2025-07-23 23:42:36.384282
155,940,2023-09-05,29,250,372,122,2025-07-23 23:42:36.385290
156,794,2024-08-08,177,218,434,216,2025-07-23 23:42:36.386194
157,282,2023-04-30,210,86,92,6,2025-07-23 23:42:36.387073
158,1347,2024-06-28,45,163,358,195,2025-07-23 23:42:36.387942
159,439,2022-04-21,112,167,272,105,2025-07-23 23:42:36.388848
160,288,2022-07-15,126,130,150,20,2025-07-23 23:42:36.389706
161,1402,2023-02-15,214,210,219,9,2025-07-23 23:42:36.390578
162,1257,2023-06-23,203,295,489,194,2025-07-23 23:42:36.391484
163,1375,2022-03-22,81,213,299,86,2025-07-23 23:42:36.392417
164,597,2023-01-09,190,85,353,268,2025-07-23 23:42:36.393461
165,561,2024-08-04,183,197,218,21,2025-07-23 23:42:36.394589
166,18,2024-01-13,219,74,162,88,2025-07-23 23:42:36.395664
167,188,2022-11-27,5,24,230,206,2025-07-23 23:42:36.396808
168,340,2022-09-14,98,30,348,318,2025-07-23 23:42:36.397886
169,938,2022-05-05,40,169,271,102,2025-07-23 23:42:36.398995
170,287,2023-08-12,19,45,149,104,2025-07-23 23:42:36.400061
171,1156,2023-03-29,94,123,401,278,2025-07-23 23:42:36.401154
172,286,2024-03-19,38,25,91,66,2025-07-23 23:42:36.402232
173,770,2022-11-03,116,32,115,83,2025-07-23 23:42:36.403377
174,687,2024-01-27,90,231,469,238,2025-07-23 23:42:36.404484
175,1353,2022-05-23,33,188,417,229,2025-07-23 23:42:36.405566
176,1196,2022-03-15,90,134,221,87,2025-07-23 23:42:36.406646
177,924,2024-05-01,45,13,254,241,2025-07-23 23:42:36.407833
178,388,2022-11-11,148,254,268,14,2025-07-23 23:42:36.409010
179,831,2022-08-30,102,27,284,257,2025-07-23 23:42:36.410124
180,1462,2024-09-06,105,159,412,253,2025-07-23 23:42:36.411237
181,1380,2023-06-20,208,35,499,464,2025-07-23 23:42:36.412415
182,453,2023-07-01,104,28,260,232,2025-07-23 23:42:36.413552
183,560,2024-09-19,42,154,397,243,2025-07-23 23:42:36.414641
184,412,2023-11-01,122,89,326,237,2025-07-23 23:42:36.415721
185,1125,2022-10-14,250,187,251,64,2025-07-23 23:42:36.416858
186,13,2023-03-01,21,361,475,114,2025-07-23 23:42:36.417929
187,427,2023-09-04,124,343,407,64,2025-07-23 23:42:36.419039
188,843,2023-04-02,8,4,52,48,2025-07-23 23:42:36.420112
189,35,2022-06-24,145,73,99,26,2025-07-23 23:42:36.421146
190,59,2023-10-11,154,48,373,325,2025-07-23 23:42:36.422304
191,1081,2023-03-23,90,240,262,22,2025-07-23 23:42:36.423396
192,357,2024-01-03,80,6,116,110,2025-07-23 23:42:36.424492
193,307,2023-04-01,124,57,319,262,2025-07-23 23:42:36.425554
194,262,2023-10-03,247,346,453,107,2025-07-23 23:42:36.426622
195,696,2024-03-01,60,34,176,142,2025-07-23 23:42:36.427717
196,484,2024-02-05,196,35,175,140,2025-07-23 23:42:36.428854
197,1249,2024-12-18,208,21,26,5,2025-07-23 23:42:36.429981
198,1120,2022-05-10,193,6,62,56,2025-07-23 23:42:36.431083
199,87,2024-03-08,159,300,424,124,2025-07-23 23:42:36.432193
200,1468,2024-10-12,40,55,460,405,2025-07-23 23:42:36.433254
201,605,2022-12-19,147,44,81,37,2025-07-23 23:42:36.434579
202,920,2024-07-21,63,166,395,229,2025-07-23 23:42:36.435747
203,1453,2022-11-19,158,213,403,190,2025-07-23 23:42:36.436889
204,605,2023-11-23,23,101,182,81,2025-07-23 23:42:36.437980
205,718,2022-03-01,30,31,73,42,2025-07-23 23:42:36.439104
206,1011,2024-08-05,101,0,196,196,2025-07-23 23:42:36.440150
207,868,2022-10-24,108,192,206,14,2025-07-23 23:42:36.441083
208,1412,2023-05-23,26,265,359,94,2025-07-23 23:42:36.441969
209,386,2022-08-19,83,54,146,92,2025-07-23 23:42:36.442889
210,1155,2022-04-19,19,19,35,16,2025-07-23 23:42:36.443809
211,383,2023-10-14,44,227,467,240,2025-07-23 23:42:36.444794
212,825,2022-11-05,231,72,86,14,2025-07-23 23:42:36.445693
213,794,2022-08-25,66,288,403,115,2025-07-23 23:42:36.446612
214,508,2022-01-25,44,58,472,414,2025-07-23 23:42:36.447524
215,757,2023-02-06,13,47,111,64,2025-07-23 23:42:36.448569
216,13,2023-07-03,125,53,96,43,2025-07-23 23:42:36.449524
217,110,2024-04-23,186,369,419,50,2025-07-23 23:42:36.450512
218,200,2024-11-06,93,163,168,5,2025-07-23 23:42:36.451557
219,855,2022-12-08,206,106,191,85,2025-07-23 23:42:36.452532
220,1316,2024-12-16,78,178,204,26,2025-07-23 23:42:36.453515
221,427,2022-05-05,126,197,273,76,2025-07-23 23:42:36.454587
222,722,2024-06-10,21,165,228,63,2025-07-23 23:42:36.455656
223,1269,2023-01-14,37,277,496,219,2025-07-23 23:42:36.456738
224,717,2022-07-20,37,5,68,63,2025-07-23 23:42:36.457876
225,107,2024-01-20,145,0,35,35,2025-07-23 23:42:36.460086
226,1326,2023-03-02,46,256,499,243,2025-07-23 23:42:36.461260
227,1221,2023-09-25,46,56,181,125,2025-07-23 23:42:36.462337
228,741,2022-03-14,168,54,303,249,2025-07-23 23:42:36.463415
229,1341,2023-05-29,22,110,250,140,2025-07-23 23:42:36.464552
230,784,2023-09-20,158,42,67,25,2025-07-23 23:42:36.465677
231,1260,2023-10-01,126,7,43,36,2025-07-23 23:42:36.466731
232,558,2024-06-27,162,150,193,43,2025-07-23 23:42:36.467851
233,165,2023-11-09,52,118,232,114,2025-07-23 23:42:36.469176
234,455,2023-08-10,244,277,442,165,2025-07-23 23:42:36.470265
235,791,2024-04-27,11,161,419,258,2025-07-23 23:42:36.471358
236,755,2022-07-30,145,99,116,17,2025-07-23 23:42:36.472422
237,162,2023-07-25,47,17,100,83,2025-07-23 23:42:36.473533
238,1204,2023-10-08,223,196,228,32,2025-07-23 23:42:36.474603
239,235,2023-04-13,200,398,408,10,2025-07-23 23:42:36.475750
240,462,2024-08-18,241,41,119,78,2025-07-23 23:42:36.476887
241,1378,2024-11-17,217,17,22,5,2025-07-23 23:42:36.477922
242,1354,2024-04-22,89,379,400,21,2025-07-23 23:42:36.479101
243,1171,2022-04-17,69,84,250,166,2025-07-23 23:42:36.480202
244,1498,2023-05-05,1,81,121,40,2025-07-23 23:42:36.481259
245,328,2024-11-25,116,11,434,423,2025-07-23 23:42:36.482320
246,1439,2023-10-19,127,232,363,131,2025-07-23 23:42:36.483536
247,1376,2023-05-30,4,147,200,53,2025-07-23 23:42:36.484808
248,1326,2023-07-03,220,68,79,11,2025-07-23 23:42:36.485887
249,482,2023-04-23,54,187,219,32,2025-07-23 23:42:36.486953
250,181,2023-01-11,18,252,271,19,2025-07-23 23:42:36.488111
251,517,2024-08-25,178,5,83,78,2025-07-23 23:42:36.489192
252,854,2024-11-26,192,235,255,20,2025-07-23 23:42:36.490246
253,1337,2024-08-12,139,11,25,14,2025-07-23 23:42:36.491325
254,719,2024-12-03,47,13,85,72,2025-07-23 23:42:36.492382
255,1200,2023-09-16,32,30,372,342,2025-07-23 23:42:36.493444
256,968,2024-07-24,83,44,461,417,2025-07-23 23:42:36.494554
257,1144,2023-08-26,125,24,190,166,2025-07-23 23:42:36.495640
258,132,2023-10-18,120,228,322,94,2025-07-23 23:42:36.496656
259,1166,2024-01-26,122,119,137,18,2025-07-23 23:42:36.497750
260,931,2024-01-30,247,445,480,35,2025-07-23 23:42:36.498807
261,74,2023-01-10,203,174,399,225,2025-07-23 23:42:36.499858
262,1089,2023-08-15,142,261,439,178,2025-07-23 23:42:36.500929
263,503,2024-03-16,159,10,350,340,2025-07-23 23:42:36.502006
264,1154,2024-10-11,249,31,51,20,2025-07-23 23:42:36.503106
265,1369,2023-07-14,113,117,365,248,2025-07-23 23:42:36.504327
266,1362,2023-10-02,224,155,164,9,2025-07-23 23:42:36.505665
267,1056,2024-08-14,199,385,411,26,2025-07-23 23:42:36.506743
268,410,2023-11-02,34,379,438,59,2025-07-23 23:42:36.507845
269,491,2023-02-19,171,125,145,20,2025-07-23 23:42:36.508992
270,172,2022-11-24,242,157,324,167,2025-07-23 23:42:36.510055
271,11,2023-05-23,212,102,203,101,2025-07-23 23:42:36.511134
272,626,2022-11-05,91,98,128,30,2025-07-23 23:42:36.512200
273,408,2023-02-07,137,131,148,17,2025-07-23 23:42:36.513280
274,809,2024-12-14,55,252,448,196,2025-07-23 23:42:36.514363
275,311,2022-02-03,157,27,39,12,2025-07-23 23:42:36.515426
276,1475,2022-06-02,167,23,232,209,2025-07-23 23:42:36.516479
277,541,2024-02-04,22,47,60,13,2025-07-23 23:42:36.517530
278,1047,2024-05-24,244,105,111,6,2025-07-23 23:42:36.518630
279,664,2023-09-08,119,249,271,22,2025-07-23 23:42:36.519811
280,1073,2024-01-17,215,3,81,78,2025-07-23 23:42:36.520916
281,1298,2022-08-27,60,140,153,13,2025-07-23 23:42:36.522000
282,1254,2023-08-09,69,309,370,61,2025-07-23 23:42:36.523269
283,1386,2023-10-04,228,63,276,213,2025-07-23 23:42:36.524379
284,541,2024-08-24,162,11,354,343,2025-07-23 23:42:36.525441
285,1217,2023-10-08,217,50,62,12,2025-07-23 23:42:36.526527
286,961,2023-05-08,13,200,252,52,2025-07-23 23:42:36.527641
287,704,2022-05-26,128,113,131,18,2025-07-23 23:42:36.528749
288,492,2022-03-15,236,29,309,280,2025-07-23 23:42:36.529861
289,1393,2023-04-08,112,67,454,387,2025-07-23 23:42:36.530987
290,1050,2023-06-21,154,61,232,171,2025-07-23 23:42:36.532128
291,854,2024-01-26,11,154,381,227,2025-07-23 23:42:36.533262
292,530,2024-02-08,239,60,188,128,2025-07-23 23:42:36.534377
293,424,2023-03-06,11,276,290,14,2025-07-23 23:42:36.535447
294,817,2023-03-28,133,132,291,159,2025-07-23 23:42:36.536485
295,275,2024-01-17,229,407,453,46,2025-07-23 23:42:36.537450
296,346,2022-09-11,128,6,46,40,2025-07-23 23:42:36.538477
297,449,2023-03-27,194,4,155,151,2025-07-23 23:42:36.539562
298,544,2022-08-29,170,34,269,235,2025-07-23 23:42:36.540626
299,349,2022-11-17,45,76,189,113,2025-07-23 23:42:36.541700
300,176,2024-12-12,35,222,306,84,2025-07-23 23:42:36.542784
301,1170,2023-05-06,139,121,138,17,2025-07-23 23:42:36.543832
302,1265,2022-07-12,219,285,338,53,2025-07-23 23:42:36.544917
303,87,2022-03-24,2,133,327,194,2025-07-23 23:42:36.545984
304,666,2022-09-24,218,159,198,39,2025-07-23 23:42:36.547122
305,219,2023-09-08,5,165,267,102,2025-07-23 23:42:36.548184
306,540,2023-09-07,79,19,261,242,2025-07-23 23:42:36.549296
307,675,2022-10-18,107,1,18,17,2025-07-23 23:42:36.550342
308,1484,2024-07-18,91,167,477,310,2025-07-23 23:42:36.551434
309,579,2024-01-23,208,272,476,204,2025-07-23 23:42:36.552527
310,617,2023-01-01,52,37,141,104,2025-07-23 23:42:36.553601
311,1263,2023-12-08,188,212,366,154,2025-07-23 23:42:36.554672
312,1115,2023-06-19,95,76,106,30,2025-07-23 23:42:36.555737
313,688,2023-05-21,61,61,114,53,2025-07-23 23:42:36.556828
314,940,2023-01-05,29,105,273,168,2025-07-23 23:42:36.562081
315,235,2024-11-29,13,22,44,22,2025-07-23 23:42:36.563247
316,310,2023-02-05,165,4,217,213,2025-07-23 23:42:36.564319
317,568,2023-05-17,198,237,474,237,2025-07-23 23:42:36.565379
318,1355,2022-09-16,186,59,64,5,2025-07-23 23:42:36.566453
319,570,2023-01-20,113,39,495,456,2025-07-23 23:42:36.567582
320,671,2024-08-09,94,313,345,32,2025-07-23 23:42:36.568677
321,188,2022-11-03,79,53,99,46,2025-07-23 23:42:36.569733
322,665,2023-04-14,155,20,148,128,2025-07-23 23:42:36.570870
323,1225,2022-05-06,4,238,302,64,2025-07-23 23:42:36.571945
324,454,2024-04-22,31,185,474,289,2025-07-23 23:42:36.573018
325,934,2022-09-06,94,204,350,146,2025-07-23 23:42:36.574113
326,501,2024-10-18,65,221,462,241,2025-07-23 23:42:36.575187
327,1121,2023-05-19,221,182,409,227,2025-07-23 23:42:36.576279
328,714,2022-11-25,105,78,365,287,2025-07-23 23:42:36.577356
329,954,2024-05-12,154,26,139,113,2025-07-23 23:42:36.578415
330,413,2023-06-09,47,4,240,236,2025-07-23 23:42:36.579485
331,77,2024-05-24,56,254,400,146,2025-07-23 23:42:36.580549
332,631,2022-05-28,120,216,418,202,2025-07-23 23:42:36.581618
333,1250,2022-10-22,171,328,455,127,2025-07-23 23:42:36.582678
334,490,2022-06-01,46,15,189,174,2025-07-23 23:42:36.583951
335,1367,2023-09-03,201,206,216,10,2025-07-23 23:42:36.585094
336,1102,2024-08-20,71,60,241,181,2025-07-23 23:42:36.586206
337,834,2024-01-15,176,9,116,107,2025-07-23 23:42:36.587274
338,1393,2022-09-21,213,100,339,239,2025-07-23 23:42:36.588543
339,1467,2023-10-02,237,121,277,156,2025-07-23 23:42:36.589653
340,1170,2024-01-04,196,72,89,17,2025-07-23 23:42:36.590706
341,796,2024-11-28,247,21,29,8,2025-07-23 23:42:36.591808
342,425,2024-01-21,84,12,321,309,2025-07-23 23:42:36.592857
343,1187,2023-11-23,122,303,347,44,2025-07-23 23:42:36.594017
344,546,2022-03-01,100,2,490,488,2025-07-23 23:42:36.595113
345,259,2024-07-24,8,195,443,248,2025-07-23 23:42:36.596156
346,475,2022-05-06,171,125,165,40,2025-07-23 23:42:36.597229
347,930,2022-10-27,118,292,372,80,2025-07-23 23:42:36.598298
348,204,2024-04-04,158,28,73,45,2025-07-23 23:42:36.599354
349,1438,2024-05-11,102,12,137,125,2025-07-23 23:42:36.600413
350,1482,2023-08-06,230,115,268,153,2025-07-23 23:42:36.601484
351,1335,2024-10-10,44,3,59,56,2025-07-23 23:42:36.602631
352,1265,2024-12-22,182,40,82,42,2025-07-23 23:42:36.603694
353,963,2024-06-10,233,213,221,8,2025-07-23 23:42:36.604801
354,1313,2023-04-14,170,50,166,116,2025-07-23 23:42:36.605857
355,1093,2024-12-09,119,114,213,99,2025-07-23 23:42:36.606904
356,870,2024-03-23,180,7,41,34,2025-07-23 23:42:36.607980
357,1467,2023-01-31,153,174,262,88,2025-07-23 23:42:36.609099
358,101,2024-08-31,132,28,207,179,2025-07-23 23:42:36.610157
359,170,2023-11-24,10,194,211,17,2025-07-23 23:42:36.611222
360,668,2024-09-03,126,42,61,19,2025-07-23 23:42:36.612287
361,1428,2022-12-25,105,179,343,164,2025-07-23 23:42:36.613412
362,1069,2023-02-10,198,212,359,147,2025-07-23 23:42:36.614486
363,933,2024-12-31,230,173,269,96,2025-07-23 23:42:36.615543
364,1347,2023-04-10,28,27,41,14,2025-07-23 23:42:36.616604
365,1025,2022-02-09,191,18,143,125,2025-07-23 23:42:36.617666
366,21,2024-07-10,72,13,121,108,2025-07-23 23:42:36.618723
367,45,2022-03-01,123,185,418,233,2025-07-23 23:42:36.619831
368,54,2023-11-12,127,189,294,105,2025-07-23 23:42:36.620886
369,1086,2022-03-12,166,178,360,182,2025-07-23 23:42:36.621941
370,654,2024-04-17,182,21,44,23,2025-07-23 23:42:36.623041
371,808,2024-06-14,103,261,281,20,2025-07-23 23:42:36.624183
372,1464,2024-07-10,209,0,13,13,2025-07-23 23:42:36.625262
373,30,2024-03-08,178,228,427,199,2025-07-23 23:42:36.626370
374,937,2024-12-06,152,220,370,150,2025-07-23 23:42:36.627440
375,1206,2023-04-25,126,73,304,231,2025-07-23 23:42:36.628497
376,992,2024-05-31,154,188,240,52,2025-07-23 23:42:36.629598
377,629,2023-03-10,39,92,156,64,2025-07-23 23:42:36.630671
378,1071,2022-08-16,234,85,137,52,2025-07-23 23:42:36.631812
379,534,2024-02-02,17,45,172,127,2025-07-23 23:42:36.632864
380,869,2023-01-10,81,122,376,254,2025-07-23 23:42:36.633940
381,611,2024-03-23,216,4,411,407,2025-07-23 23:42:36.635022
382,421,2022-01-17,39,112,397,285,2025-07-23 23:42:36.636128
383,394,2023-05-12,227,32,48,16,2025-07-23 23:42:36.637201
384,110,2022-02-10,129,39,220,181,2025-07-23 23:42:36.638289
385,962,2022-11-28,83,59,152,93,2025-07-23 23:42:36.639373
386,777,2024-04-05,88,157,226,69,2025-07-23 23:42:36.640447
387,504,2024-09-02,192,257,383,126,2025-07-23 23:42:36.641516
388,362,2024-04-12,188,89,140,51,2025-07-23 23:42:36.642590
389,647,2023-06-27,163,100,470,370,2025-07-23 23:42:36.643651
390,1360,2023-01-05,248,25,273,248,2025-07-23 23:42:36.644718
391,598,2022-02-24,44,91,448,357,2025-07-23 23:42:36.645850
392,1419,2022-01-13,48,26,124,98,2025-07-23 23:42:36.646921
393,872,2024-03-17,71,329,375,46,2025-07-23 23:42:36.647982
