sales_key,order_id,customer_key,product_key,campaign_key,date_key,quantity,unit_price,discount_amount,total_amount,location_key,payment_method_id,created_at
52,O-5995bf0a,1300,488,186,21/1/2024,1,428.63,127.16,301.47,207,PayPal,42:24.8
53,O-48a4e4d9,1947,1132,5,2/10/2022,2,289.34,17.88,560.8,106,PayPal,42:24.8
54,O-ac6a4a21,2569,1169,1,15/6/2024,2,471.09,181.03,761.15,4,MasterCard,42:24.9
55,O-af7c1843,958,587,66,18/9/2024,2,439.38,121.23,757.53,121,PayPal,42:24.9
56,O-f0efbc4f,4220,958,70,22/11/2023,1,424.46,76.71,347.75,31,Cash,42:24.9
57,O-37429b8e,2610,1355,103,11/3/2024,2,399.17,100.68,697.66,231,Cash,42:24.9
58,O-189a8d42,4906,778,95,5/7/2022,5,300.13,311.65,1189,222,MasterCard,42:24.9
59,O-14409063,796,629,180,17/11/2022,2,338.79,175.21,502.37,194,Afterpay,42:24.9
60,O-82668d95,2483,518,23,13/9/2022,2,13.69,7.05,20.33,158,PayPal,42:24.9
61,O-19bbaccf,2435,1414,124,11/3/2023,5,427.84,453.02,1686.18,24,PayPal,42:24.9
62,O-ea35e755,3901,661,91,25/7/2022,3,372.18,190.61,925.93,210,PayPal,42:24.9
63,O-f63283af,844,956,121,18/5/2022,5,322.98,322.55,1292.35,150,Visa,42:24.9
64,O-4e4fa668,4206,301,9,7/7/2022,2,173.39,100.01,246.77,190,Afterpay,42:24.9
65,O-3fd8d5e7,1568,1155,167,8/6/2023,1,494.51,109.16,385.35,23,PayPal,42:24.9
66,O-6f216063,3519,274,10,16/9/2023,3,81.99,58.78,187.19,16,PayPal,42:24.9
67,O-6b93df70,3725,560,164,16/11/2023,2,210.84,82.62,339.06,242,Cash,42:24.9
68,O-673fb91d,2696,864,55,29/8/2024,5,60.36,16.4,285.4,212,PayPal,42:24.9
69,O-55e86dea,2523,251,82,25/3/2022,4,478.17,480.01,1432.67,9,Afterpay,42:24.9
70,O-692bad92,3989,56,14,11/11/2022,2,318.73,6.68,630.78,224,Visa,42:24.9
71,O-bc8bc256,763,1027,126,3/5/2024,1,90.59,1.84,88.75,81,Afterpay,42:24.9
72,O-e3140895,242,203,22,30/10/2024,4,149.28,153.77,443.35,178,MasterCard,42:24.9
73,O-2f7426fe,1143,502,107,8/1/2022,1,152.58,18.76,133.82,81,PayPal,42:24.9
74,O-c40285ba,5000,409,128,19/4/2024,3,110.55,20.52,311.13,52,MasterCard,42:24.9
75,O-2c5415a4,159,1182,106,18/10/2022,5,119.27,43.53,552.82,159,PayPal,42:24.9
76,O-c296e53b,4369,1345,115,25/10/2024,5,421.54,538.93,1568.77,217,PayPal,42:24.9
77,O-0ca987b0,2633,1028,108,7/8/2022,4,468.61,480.88,1393.56,15,Cash,42:24.9
78,O-0bb7dc15,1448,826,11,7/11/2023,2,187.15,46.53,327.77,219,Afterpay,42:24.9
79,O-7a13bb0c,2034,195,96,22/4/2022,2,337.96,104.63,571.29,54,Afterpay,42:24.9
80,O-e0a41a6c,283,268,44,2/1/2023,3,314.82,17.08,927.38,114,Visa,42:24.9
81,O-96cdae9a,1886,463,97,18/11/2024,1,191.09,29.78,161.31,155,Cash,42:24.9
82,O-e845e3fe,3505,1272,105,4/1/2024,4,157.03,73.97,554.15,188,MasterCard,42:24.9
83,O-23cc4d14,1676,908,140,2/4/2024,3,36.34,16.46,92.56,90,PayPal,42:24.9
84,O-3ead5f02,2907,1020,88,18/3/2024,2,28.44,13.17,43.71,170,Cash,42:24.9
85,O-1b325482,3029,907,67,27/10/2024,4,474.59,368.7,1529.66,75,MasterCard,42:24.9
86,O-db22fed9,3712,1452,108,11/9/2022,5,479.92,638.35,1761.25,169,Afterpay,42:24.9
87,O-9e83df18,2860,656,62,3/1/2022,4,102.51,16.4,393.64,40,Cash,42:24.9
88,O-f6937023,3127,55,52,17/4/2023,5,404.56,13.7,2009.1,209,PayPal,42:24.9
89,O-ae4f94ec,661,567,35,8/4/2022,1,497.18,128.57,368.61,140,MasterCard,42:24.9
90,O-3363a2ba,2120,1110,68,29/6/2024,2,20.05,9.94,30.16,85,PayPal,42:24.9
91,O-920b3b54,1029,193,129,11/5/2022,2,342.24,196.5,487.98,234,MasterCard,42:24.9
92,O-cc3a8bc6,4733,855,77,24/6/2023,2,85.76,44.2,127.32,10,Afterpay,42:24.9
93,O-5e86c483,4409,1083,84,29/12/2024,1,270.51,7.58,262.93,177,Cash,42:24.9
94,O-79a15305,3851,959,176,24/4/2024,4,106.48,96.87,329.05,196,Visa,42:24.9
95,O-3cc42f0d,4534,630,5,9/2/2024,1,418.11,123.94,294.17,108,Cash,42:24.9
96,O-6f5ce935,4327,800,57,7/2/2022,1,269.47,49.26,220.21,248,Cash,42:24.9
97,O-9e61795c,167,1476,78,31/8/2022,1,398.97,40.69,358.28,229,PayPal,42:24.9
98,O-3966f7c5,4057,1112,140,24/2/2022,2,359.69,45.83,673.55,39,Afterpay,42:24.9
99,O-4581fd0d,3800,226,187,5/7/2022,3,114.16,13.23,329.25,96,PayPal,42:24.9
100,O-43cab2aa,4882,1270,125,15/11/2023,4,249.39,173.18,824.38,47,Afterpay,42:24.9
101,O-dfb78d50,2457,1133,184,18/10/2022,4,396.38,187.43,1398.09,213,PayPal,42:24.9
102,O-018c19c7,2041,367,158,7/4/2023,4,436.62,181.31,1565.17,202,MasterCard,42:24.9
103,O-7770420b,2848,1362,16,31/12/2022,5,215.5,97.47,980.03,102,MasterCard,42:24.9
104,O-bd832725,1539,1251,28,3/1/2023,1,383.25,21.3,361.95,9,Cash,42:24.9
105,O-e0d0d58f,1748,1465,179,1/11/2022,3,364.16,156.95,935.53,214,Visa,42:24.9
106,O-a3a8a9a8,3518,1418,187,18/4/2024,5,392.13,491.83,1468.82,129,Afterpay,42:24.9
107,O-fde35ed7,1910,593,20,16/2/2022,5,418.77,260.05,1833.8,89,PayPal,42:24.9
108,O-4e30812b,4837,488,129,14/5/2024,5,265.45,164.02,1163.23,100,Afterpay,42:24.9
109,O-f98965fb,4629,309,79,15/10/2022,1,484.64,60.21,424.43,68,Visa,42:25.0
110,O-04d4d62b,71,1085,117,12/7/2022,4,412.71,339.34,1311.5,199,Cash,42:25.0
111,O-0084ab34,1761,1018,123,18/2/2024,3,73.26,8.04,211.74,98,Afterpay,42:25.0
112,O-2070fdd9,1735,488,116,27/2/2022,2,26.71,2.55,50.87,73,Visa,42:25.0
113,O-fe140fc1,4525,540,142,9/5/2023,4,430.98,281.77,1442.15,36,Visa,42:25.0
114,O-c3bdeaed,3895,1183,12,16/1/2024,3,467.26,45.81,1355.97,179,MasterCard,42:25.0
115,O-0c8a1356,3504,865,98,10/4/2023,5,497.24,41.99,2444.21,133,MasterCard,42:25.0
116,O-458facd7,4933,14,182,19/9/2024,3,251.01,27.59,725.44,112,Afterpay,42:25.0
117,O-e16a6d14,3590,585,14,8/6/2024,5,393.13,584.57,1381.08,75,Visa,42:25.0
118,O-6ae06621,2498,432,198,11/11/2024,1,214.8,2.61,212.19,152,Afterpay,42:25.0
119,O-3980b067,2542,475,128,27/12/2023,5,216.94,188.06,896.64,142,MasterCard,42:25.0
120,O-177b475a,160,811,50,6/2/2024,5,14.36,13.88,57.92,194,MasterCard,42:25.0
121,O-0246cc2c,4166,179,50,31/12/2022,1,142.89,32.31,110.58,98,MasterCard,42:25.0
122,O-2ddff1a9,2263,400,177,20/5/2024,2,173.75,86.21,261.29,205,Visa,42:25.0
123,O-95e1a337,3356,405,139,6/6/2023,4,211.48,211.21,634.71,227,Visa,42:25.0
124,O-41b33ec5,290,1025,101,23/9/2022,3,306.7,79.67,840.43,233,Visa,42:25.0
125,O-9e55a841,366,139,54,19/5/2023,4,229.1,91.3,825.1,74,MasterCard,42:25.0
126,O-93f6b80e,1457,1204,41,16/6/2023,5,235.2,134.89,1041.11,93,Cash,42:25.0
127,O-9797d1ec,328,66,186,23/10/2024,3,468.58,413.84,991.9,35,PayPal,42:25.0
128,O-959d8543,4493,1278,97,14/9/2023,1,422.59,33.13,389.46,161,PayPal,42:25.0
129,O-4b1d20e9,1278,114,79,3/3/2022,4,131.08,56.99,467.33,194,Cash,42:25.0
130,O-ae12e575,4905,290,27,2/4/2022,4,88,6.12,345.88,206,Visa,42:25.0
131,O-e0570848,2981,141,50,26/8/2023,4,46.97,19.78,168.1,186,Visa,42:25.0
132,O-43f592f7,2504,696,178,1/3/2022,4,352.43,417.38,992.34,175,Afterpay,42:25.0
133,O-1c0fbe1c,143,909,13,23/6/2022,4,89.43,76.43,281.29,128,Afterpay,42:25.0
134,O-6bc12f9c,3000,1288,61,25/6/2022,4,199.78,96.75,702.37,26,Afterpay,42:25.0
135,O-21c76055,2191,140,41,15/5/2022,4,486.03,542.4,1401.72,131,Afterpay,42:25.0
136,O-13866c87,1838,344,101,24/2/2024,1,330.87,95.66,235.21,157,PayPal,42:25.0
137,O-10998470,938,1166,13,23/12/2023,3,202.15,17.01,589.44,204,Visa,42:25.0
138,O-49fd4a23,2257,660,88,14/12/2022,3,443.11,282.13,1047.2,198,Cash,42:25.0
139,O-3bdc5ad1,2185,106,59,23/10/2023,3,279.12,160.06,677.3,237,MasterCard,42:25.0
140,O-01f954f6,1654,209,189,23/7/2023,2,73.58,19.55,127.61,83,MasterCard,42:25.0
141,O-dc8031b9,4543,1292,121,30/12/2024,1,141.85,12.78,129.07,226,MasterCard,42:25.0
142,O-5912779f,1029,714,173,14/3/2022,4,122.19,146.45,342.31,10,PayPal,42:25.0
143,O-9917c113,2508,451,109,17/8/2023,5,414.4,571.71,1500.29,150,Visa,42:25.0
144,O-74e6eb10,3302,547,39,15/12/2022,1,119.79,1.78,118.01,234,Afterpay,42:25.0
145,O-e0f9ff26,1973,1358,129,22/4/2023,4,35.12,37.95,102.53,37,Afterpay,42:25.0
146,O-6fbf87b9,775,204,96,30/3/2024,4,369.5,364.82,1113.18,92,Visa,42:25.0
147,O-0826f85b,3681,455,182,31/1/2024,5,130.38,67.44,584.46,81,Afterpay,42:25.0
148,O-cbbbeb38,1941,942,200,5/6/2023,3,276.45,88.53,740.82,249,Cash,42:25.0
149,O-9c873100,1828,351,93,1/6/2023,1,229.36,33.3,196.06,58,Afterpay,42:25.0
150,O-925ec420,1333,62,32,25/1/2022,3,119.32,76.5,281.46,4,Afterpay,42:25.0
151,O-91df0444,565,999,138,16/2/2022,1,334.03,15.33,318.7,169,Afterpay,42:25.0
152,O-fb2e29a0,4239,198,60,21/5/2023,5,83.79,18.41,400.54,60,Cash,42:25.0
153,O-4ba0131f,4636,1413,99,25/5/2023,5,237.15,288.72,897.03,16,Afterpay,42:25.0
154,O-d8bf40e9,2698,592,118,21/12/2022,4,323.9,55.6,1240,26,Visa,42:25.0
155,O-6e4b1896,887,1049,188,5/7/2023,2,375.17,32.16,718.18,191,Afterpay,42:25.0
156,O-00ce8739,3463,269,95,6/1/2023,1,448.62,133.07,315.55,80,Visa,42:25.0
157,O-3a834fbf,1017,208,96,24/6/2022,4,290.84,57.76,1105.6,208,PayPal,42:25.0
158,O-dc5c30fe,2235,848,20,17/1/2023,3,463.65,204.19,1186.76,63,Visa,42:25.0
159,O-5e57494f,395,1432,24,25/5/2024,4,103.83,32.45,382.87,245,Visa,42:25.0
160,O-b68c3df4,1752,381,89,19/7/2022,1,416.55,90.14,326.41,125,MasterCard,42:25.0
161,O-63b5667f,672,316,114,24/9/2023,2,383.9,108.1,659.7,207,Afterpay,42:25.0
162,O-4a877c72,4639,1199,138,20/3/2022,3,321.48,265.6,698.84,129,Afterpay,42:25.0
163,O-5562e6ce,2923,176,107,8/3/2024,4,262.34,184.96,864.4,168,Cash,42:25.1
164,O-aeb0d925,1387,624,138,23/5/2024,1,393.12,45.58,347.54,176,PayPal,42:25.1
165,O-faee47ef,4796,662,79,8/12/2022,1,126.74,30.16,96.58,54,MasterCard,42:25.1
166,O-93dd1236,4908,367,166,10/1/2022,5,16.37,12.67,69.18,163,Visa,42:25.1
167,O-3bbf5ada,1338,1094,197,16/8/2022,2,283.63,22.99,544.27,86,PayPal,42:25.1
168,O-e20093bb,4456,1233,12,20/10/2024,2,268.24,60.53,475.95,63,PayPal,42:25.1
169,O-44bd4bd7,1646,1464,38,17/9/2023,4,179.95,108.02,611.78,95,Visa,42:25.1
170,O-439e6942,1299,922,63,14/3/2023,3,54.3,31.88,131.02,77,Afterpay,42:25.1
171,O-67a6ad1d,4482,792,194,26/5/2024,4,236.36,243.27,702.17,74,MasterCard,42:25.1
172,O-967e0ed1,1842,132,96,3/6/2024,1,154.07,4.82,149.25,25,Afterpay,42:25.1
173,O-588ae96e,3826,894,80,14/7/2022,2,38.53,20.82,56.24,149,Cash,42:25.1
174,O-b052d9c6,3493,1419,102,18/3/2024,4,454.52,72.52,1745.56,64,Afterpay,42:25.1
175,O-110addfa,573,300,194,21/10/2023,3,84.85,41.44,213.11,224,MasterCard,42:25.1
176,O-17d1bbe7,3149,1227,134,29/7/2024,1,204.57,52.23,152.34,72,Afterpay,42:25.1
177,O-ccd50cc9,4301,377,7,15/2/2023,3,466.18,85.5,1313.04,98,Cash,42:25.1
178,O-29af0b2c,1312,1470,14,13/10/2024,4,412.39,168.42,1481.14,4,Cash,42:25.1
179,O-8870278c,2676,8,59,14/6/2024,1,102.39,4.18,98.21,199,Visa,42:25.1
180,O-0e59e9ec,4818,1110,23,28/8/2024,2,21.61,1.56,41.66,115,Afterpay,42:25.1
181,O-43f96bac,352,649,101,26/1/2022,4,14.19,15.85,40.91,180,Visa,42:25.1
182,O-26dc71e8,3300,1181,115,18/5/2024,2,310.32,75.35,545.29,87,Cash,42:25.1
183,O-481314b4,1371,351,186,31/1/2022,5,224.92,175.12,949.48,59,PayPal,42:25.1
184,O-34deb386,3706,1500,96,15/9/2024,4,27.94,30.89,80.87,157,MasterCard,42:25.1
185,O-5116566d,3201,261,34,12/5/2023,3,79.77,66.8,172.51,26,Visa,42:25.1
186,O-2500cefb,4796,570,127,19/11/2024,2,106.26,15.09,197.43,48,Cash,42:25.1
187,O-83df9171,2017,371,106,4/11/2023,4,204.05,14.55,801.65,223,Cash,42:25.1
188,O-fabb86a6,3091,1250,153,4/2/2024,3,126.65,72.53,307.42,237,Visa,42:25.1
189,O-a3e25de9,3995,1201,157,8/2/2023,1,57.96,6.51,51.45,101,Cash,42:25.1
190,O-22f1ed28,3612,988,27,7/1/2023,4,66.89,51.09,216.47,117,PayPal,42:25.1
191,O-72b0a002,1250,585,175,4/3/2024,5,77.45,82.3,304.95,75,PayPal,42:25.1
192,O-ab24336f,216,768,175,31/5/2024,5,446.38,232.33,1999.57,72,MasterCard,42:25.1
193,O-85861f55,3548,360,103,8/9/2024,4,254.08,105.78,910.54,47,Cash,42:25.1
194,O-eb7b2770,44,105,128,18/10/2023,4,192.19,120.72,648.04,236,PayPal,42:25.1
195,O-c5cc3401,1054,929,39,6/11/2023,4,21.41,5.76,79.88,97,PayPal,42:25.1
196,O-54bc98ee,3914,2,113,27/2/2024,3,484.03,284.6,1167.49,125,Visa,42:25.1
197,O-8aad95d7,1171,966,130,5/3/2023,1,70.93,2.98,67.95,23,PayPal,42:25.1
198,O-3e117429,1549,1089,108,27/4/2023,3,437.3,204.57,1107.33,13,Afterpay,42:25.1
199,O-5c4ad0a3,3964,605,74,8/6/2024,4,86.32,16.74,328.54,173,Afterpay,42:25.1
200,O-6c912e03,4008,1273,34,25/5/2023,5,339.18,96.65,1599.25,233,Visa,42:25.1
201,O-870ea7b8,3186,1330,67,16/8/2022,3,464.67,292.6,1101.41,144,PayPal,42:25.1
202,O-c367a7e3,4115,860,78,19/8/2023,1,495.3,84.67,410.63,10,Cash,42:25.1
203,O-89b78bb2,901,486,37,4/11/2022,5,492.97,132.08,2332.77,203,Cash,42:25.1
204,O-ba5ae7f3,2453,67,157,29/12/2023,5,17.08,2.85,82.55,138,Cash,42:25.1
205,O-fef6fccf,2532,229,91,6/3/2022,5,93.18,132.19,333.71,200,Cash,42:25.1
206,O-06148326,4213,213,14,24/8/2023,3,454.27,72.16,1290.65,162,MasterCard,42:25.1
207,O-1b5fc1e2,2894,488,45,1/10/2024,1,367.71,54.41,313.3,71,Cash,42:25.1
208,O-75a41e8c,3701,858,68,22/1/2024,5,163.99,66.83,753.12,20,Cash,42:25.1
209,O-81b519b9,626,619,148,18/9/2022,4,230.63,178.88,743.64,191,PayPal,42:25.1
210,O-83f7ee38,4840,992,58,24/6/2024,1,102.68,6.05,96.63,245,Visa,42:25.1
211,O-4b3c886b,3935,1033,22,20/12/2023,1,40.89,12.09,28.8,247,MasterCard,42:25.1
212,O-071be2b2,571,559,72,14/5/2022,1,411.54,73.29,338.25,30,Visa,42:25.1
213,O-d283d620,669,1172,54,8/11/2024,5,375.54,20.3,1857.4,183,Afterpay,42:25.1
214,O-31c33ee3,2742,1500,131,24/4/2024,3,46.56,25.4,114.28,127,Cash,42:25.1
215,O-5cc026b3,2190,1426,134,22/5/2023,1,34.86,0.33,34.53,241,MasterCard,42:25.1
216,O-941dad35,2961,251,106,31/7/2024,5,155.46,56.87,720.43,154,PayPal,42:25.1
217,O-3385b87c,3873,1325,142,28/1/2023,3,280.28,30.17,810.67,71,Cash,42:25.1
218,O-b70b769a,4660,1070,46,22/8/2024,5,449.86,468.71,1780.59,53,PayPal,42:25.1
219,O-aa194925,2731,940,62,23/7/2023,4,205.24,95.81,725.15,187,Visa,42:25.1
220,O-4b4059f2,3948,1005,133,23/4/2022,2,39.3,8.28,70.32,215,PayPal,42:25.2
221,O-6b3248ab,4963,182,12,13/5/2024,2,406.11,88.74,723.48,220,PayPal,42:25.2
222,O-196b7efd,2902,1007,178,12/10/2024,3,454.63,212.64,1151.25,167,MasterCard,42:25.2
223,O-f6d6dc33,4893,832,58,11/2/2023,5,329.74,248.17,1400.53,220,Cash,42:25.2
224,O-8d2c918f,209,1051,74,20/10/2024,5,24.93,33.86,90.79,233,MasterCard,42:25.2
225,O-3390771e,1654,839,154,10/9/2024,1,320.12,1.46,318.66,71,Afterpay,42:25.2
226,O-dd4f5627,3184,720,68,6/2/2023,1,255.45,56.35,199.1,56,Cash,42:25.2
227,O-17708f13,1068,393,90,15/7/2022,5,401.6,594.88,1413.12,121,Cash,42:25.2
228,O-caba42ce,1208,216,200,27/5/2023,5,41.14,27.73,177.97,31,Cash,42:25.2
229,O-37da41a9,3531,255,34,10/11/2024,5,358.81,33.16,1760.89,48,MasterCard,42:25.2
230,O-15a17b13,1274,894,98,13/3/2023,2,14.66,8.13,21.19,156,Afterpay,42:25.2
231,O-2833b57c,2228,1178,146,10/6/2023,5,347.62,294.43,1443.67,49,Cash,42:25.2
232,O-43039ce7,4102,699,82,14/1/2024,2,116.68,8.7,224.66,116,MasterCard,42:25.2
233,O-b2ee92cb,4891,451,148,13/6/2024,4,171.59,164.11,522.25,152,MasterCard,42:25.2
234,O-dad9c87d,3596,323,199,21/11/2022,3,83.17,43.59,205.92,187,Visa,42:25.2
235,O-6e59a903,1293,1020,39,16/9/2023,1,31.87,1.83,30.04,145,Afterpay,42:25.2
236,O-af257feb,3813,362,20,13/6/2024,2,230.88,58.93,402.83,59,MasterCard,42:25.2
237,O-5170cc5d,1017,407,33,12/8/2022,5,11.39,14.97,41.98,216,Afterpay,42:25.2
238,O-977bc44c,2992,893,195,2/5/2023,1,225.56,54.04,171.52,114,Afterpay,42:25.2
239,O-d159c762,4618,1104,36,1/11/2024,2,284.77,120.06,449.48,74,Cash,42:25.2
240,O-a9b0b7bb,1503,1343,190,23/11/2022,4,489.98,126.26,1833.66,210,Cash,42:25.2
241,O-d050e0dd,4259,1008,185,9/2/2022,1,118.43,19.22,99.21,26,Cash,42:25.2
242,O-ee8ada56,151,952,133,30/6/2023,5,112.43,142.7,419.45,97,MasterCard,42:25.2
243,O-f3cae7c8,375,684,174,17/4/2023,1,462.41,109.28,353.13,66,Cash,42:25.2
244,O-a1a1b32b,691,139,50,31/10/2023,3,243.1,206.62,522.68,144,Visa,42:25.2
245,O-ba89212a,885,1061,73,21/4/2023,4,198.58,13.53,780.79,140,Afterpay,42:25.2
246,O-caf634e5,4283,137,52,12/1/2023,3,366.23,271.08,827.61,198,Cash,42:25.2
247,O-2806721c,1649,902,177,25/10/2023,1,123.64,14.03,109.61,200,Visa,42:25.2
248,O-9e1deab1,4354,1162,139,2/3/2022,3,257.42,17.29,754.97,236,Afterpay,42:25.2
249,O-8516f105,2996,1381,11,10/4/2022,3,48.09,17.24,127.03,107,Visa,42:25.2
250,O-653e0f9d,3628,596,139,4/5/2024,2,347.42,66.43,628.41,51,MasterCard,42:25.2
251,O-1bf9539b,1205,1443,15,29/3/2023,2,451.35,108.15,794.55,202,MasterCard,42:25.2
252,O-51f508f0,1804,1016,150,24/9/2022,4,201.41,197.75,607.89,170,Cash,42:25.2
253,O-0d19c1dd,349,126,145,9/5/2024,5,287.52,396.48,1041.12,8,PayPal,42:25.2
254,O-9bd4f6d2,4791,1086,10,18/2/2023,2,452.7,246.87,658.53,158,Cash,42:25.2
255,O-b4e444a3,1658,1082,154,21/11/2023,3,381.27,251.72,892.09,112,MasterCard,42:25.2
256,O-a751b1be,345,615,169,3/3/2024,5,306.88,240.94,1293.46,10,Cash,42:25.2
257,O-55c120d1,827,40,100,18/1/2023,5,128.69,34.85,608.6,176,PayPal,42:25.2
258,O-066883b3,2864,1451,78,14/12/2022,3,172.21,92.34,424.29,130,PayPal,42:25.2
259,O-9ae745c7,3518,1295,76,27/2/2023,1,131.03,16.17,114.86,221,PayPal,42:25.2
260,O-20087275,1895,909,121,9/7/2024,5,14.98,0.11,74.79,203,Cash,42:25.2
261,O-0577a471,2477,953,127,5/5/2022,5,146.9,176.45,558.05,109,Afterpay,42:25.2
262,O-ac53b7fd,3709,216,140,6/8/2023,1,355.4,58.32,297.08,75,PayPal,42:25.2
263,O-ea55ba5b,1734,383,194,22/9/2022,5,465.23,78.04,2248.11,180,Visa,42:25.2
264,O-b6d5f895,4828,1338,157,15/12/2024,3,230.88,61.17,631.47,175,Visa,42:25.2
265,O-d030a919,4761,819,94,4/4/2022,3,487.14,410.57,1050.85,37,MasterCard,42:25.2
266,O-c3018a08,2339,479,118,19/3/2023,5,399.83,236.05,1763.1,42,Afterpay,42:25.2
267,O-d8546a14,3420,333,114,15/3/2024,4,360.15,150.73,1289.87,29,Afterpay,42:25.2
