web_activity_key,customer_key,date_key,session_id,page_views,duration_seconds,converted,created_at
74,4255,2024-07-05,afda0264-0dba-4a44-812a-b751008431b3,4,92,0,2025-07-23 23:42:39.174280
75,1825,2023-11-29,fe450105-0881-4b02-9751-eb218bd85a2a,11,79,1,2025-07-23 23:42:39.175071
76,1356,2022-04-23,dda7deea-3c7f-4f34-bc44-13533129983c,4,467,0,2025-07-23 23:42:39.175916
77,2428,2024-05-31,34b3cf95-fe0d-4fa4-bdb0-b6420b5d286f,8,597,1,2025-07-23 23:42:39.176678
78,1996,2024-06-13,e143289f-e6ab-4711-9475-78202d8184a6,5,619,1,2025-07-23 23:42:39.177431
79,4131,2022-08-25,e4400e34-5a9d-49b9-8cbb-64804147ac71,4,433,1,2025-07-23 23:42:39.178220
80,3770,2024-06-30,43d7fb60-85a9-462b-af46-83f957d35b3a,12,497,0,2025-07-23 23:42:39.179004
81,1960,2022-11-20,6bed4da7-95b5-421c-9b7e-a1745e3fa6c2,9,590,1,2025-07-23 23:42:39.179752
82,2464,2022-08-21,d3f5bdd9-2225-456d-bf2f-34f19188fca1,10,99,1,2025-07-23 23:42:39.180504
83,3816,2022-06-22,c26a83fd-9d8c-4363-9ebe-da86b8dfa24f,8,243,1,2025-07-23 23:42:39.181292
84,2866,2024-06-16,cc77a825-3874-4800-b9ed-eeb3b257525f,12,898,1,2025-07-23 23:42:39.182061
85,1240,2022-12-25,103d27ca-bd5f-41b2-83a4-eda47958679e,11,594,1,2025-07-23 23:42:39.182844
86,2545,2022-03-31,7fbd78e9-c4a4-4702-a79f-19cb25350d4a,3,751,0,2025-07-23 23:42:39.183606
87,3462,2022-10-16,25651d97-7207-4f86-9e0f-342047d2f31a,2,663,0,2025-07-23 23:42:39.184426
88,1553,2024-12-15,545337ea-1121-45ac-82e1-6d3a4a5aa04f,6,229,1,2025-07-23 23:42:39.185218
89,3079,2024-02-11,5644aeec-9174-4a5a-a592-44510c1d8d56,14,505,1,2025-07-23 23:42:39.186216
90,1263,2022-05-18,f27230ae-30e2-440f-bd62-d1a88a4c1f1e,14,202,0,2025-07-23 23:42:39.187071
91,3654,2024-01-21,fb4cf6e4-32fd-40af-8984-fa0da15c6a94,7,363,1,2025-07-23 23:42:39.187875
92,3081,2024-08-27,4e20ecc1-6159-4ff9-a07f-4bca954e2274,3,272,0,2025-07-23 23:42:39.188674
93,3731,2024-06-19,0cacb119-ee53-4df2-bf35-e6b900da3e61,11,268,0,2025-07-23 23:42:39.189479
94,3903,2022-09-02,1a24d6d7-f6dd-4938-a50f-4085be247c6e,1,705,1,2025-07-23 23:42:39.190299
95,3637,2023-11-23,cf467314-e7d4-4358-9b4b-cecd4c07e0af,13,213,1,2025-07-23 23:42:39.191346
96,2351,2023-08-03,86a35e1a-6458-433b-81e5-933eef139c9b,8,330,0,2025-07-23 23:42:39.192226
97,95,2022-08-05,5c53d7b0-b760-4d64-9feb-14d662eaef7e,9,488,0,2025-07-23 23:42:39.193035
98,1755,2023-08-04,27988443-38e7-4f14-b70e-1eb27028cba8,9,549,0,2025-07-23 23:42:39.193832
99,3913,2023-11-15,e647fdcf-74fe-4d4d-9433-7eba0eab0137,7,414,0,2025-07-23 23:42:39.194599
100,4275,2024-11-15,68bc5f6d-bc10-414c-8626-f792f8ee56d5,4,314,0,2025-07-23 23:42:39.195412
101,135,2023-04-04,4e126f60-533f-4a5e-b666-323b46a7355e,11,418,0,2025-07-23 23:42:39.196231
102,1223,2024-03-03,c8519184-89bd-4624-832c-2fb0dcc6dc8f,3,845,1,2025-07-23 23:42:39.197205
103,3324,2024-07-23,2c284c8a-1099-4c30-a8cb-3eaa9cf9cdb3,1,895,0,2025-07-23 23:42:39.198089
104,1555,2022-02-25,d2bb2c03-f3de-42c6-acdb-f6bee050e847,10,275,0,2025-07-23 23:42:39.198909
105,1677,2023-07-11,85d5f7c7-fc3a-45b4-bd80-6772b73c12ba,15,524,0,2025-07-23 23:42:39.199687
106,4881,2024-02-26,609a7251-f726-49a5-870c-172bd1d6c738,8,497,0,2025-07-23 23:42:39.200489
107,1424,2022-04-23,38fe5ca0-2999-4ff4-b9bb-3a43dca30354,7,545,0,2025-07-23 23:42:39.201312
108,2087,2023-10-22,263980ac-df52-4f36-844f-bbcba882e830,13,268,1,2025-07-23 23:42:39.202132
109,3685,2022-11-06,2a74c15e-f6e7-4848-aed7-1f730313a05a,1,709,1,2025-07-23 23:42:39.202923
110,4212,2023-12-11,9edca8a1-8920-452b-9194-62c0b3ee321f,9,373,1,2025-07-23 23:42:39.203674
111,3079,2023-01-01,5d3c239b-3b1d-43cf-a2d5-d2ee27343a9f,7,143,0,2025-07-23 23:42:39.204436
112,1887,2023-07-24,ed361c5c-9d3b-420f-9254-bd2ea375b382,6,537,1,2025-07-23 23:42:39.205232
113,4994,2022-10-26,67f0751e-3de5-4b8d-ba5e-018691f727f1,6,464,1,2025-07-23 23:42:39.206020
114,2950,2022-01-10,2bc22f98-5902-4187-8baf-fa83d0b20b8f,12,500,1,2025-07-23 23:42:39.206803
115,2856,2022-07-17,960c2e61-144f-4c72-9165-a5023836db6d,4,725,1,2025-07-23 23:42:39.207573
116,4746,2022-11-13,f6eecdd3-033c-4726-92bc-7456a612b062,1,718,1,2025-07-23 23:42:39.208394
117,1267,2022-10-22,cfd47ed1-adfd-461e-a82d-96326c8ede65,3,382,0,2025-07-23 23:42:39.209215
118,922,2023-08-08,6f2e0a48-2ba9-4dae-8771-8473db8790c2,12,717,0,2025-07-23 23:42:39.210009
119,3683,2022-02-22,f618d430-5235-42e4-8094-308c7fa72933,2,397,1,2025-07-23 23:42:39.210797
120,4829,2024-09-09,8e7fc8e1-2bf5-46de-9967-7e83694dd03d,13,522,0,2025-07-23 23:42:39.211566
121,4574,2022-03-22,8edc77a6-4ad0-4a9c-9617-02ef69e5f235,4,130,1,2025-07-23 23:42:39.212371
122,3276,2024-04-20,d59820f9-7daa-4023-871f-72f7d6408eaa,10,819,1,2025-07-23 23:42:39.213181
123,3175,2022-07-16,acdefd54-0625-4303-96f3-1500c80d34f9,6,819,1,2025-07-23 23:42:39.214192
124,2937,2024-11-03,52b771b9-53b1-4d49-aec7-53d454dfab6b,10,294,1,2025-07-23 23:42:39.215115
125,4030,2023-07-21,e693e408-9da4-43b3-b894-1666a2ec0e66,4,823,0,2025-07-23 23:42:39.215942
126,1582,2022-07-06,07657d92-9216-452d-8979-a78753a8e1b2,1,635,0,2025-07-23 23:42:39.216731
127,4053,2022-07-05,0d16cbb9-7780-420d-97f4-cbd2a1769bb5,8,843,1,2025-07-23 23:42:39.217513
128,3839,2022-10-03,9e4e036f-7ce1-4ec9-bd0d-d62def424efa,11,333,0,2025-07-23 23:42:39.218379
129,4717,2023-01-10,e271ca85-3873-4300-9282-5c86d2a4206c,6,829,1,2025-07-23 23:42:39.219213
130,3089,2024-03-23,f793da6f-8a45-456c-8c2f-dc1951de3091,11,567,1,2025-07-23 23:42:39.220024
131,4539,2023-04-01,1203a3e6-e381-445f-b356-c6ccde57cc24,2,280,1,2025-07-23 23:42:39.220818
132,3242,2023-11-14,eeae2f5e-9815-4cc6-94c4-616a3406944e,12,737,1,2025-07-23 23:42:39.221583
133,1671,2023-09-18,e9970f15-ba6a-4dc8-bc9d-1927b85576ab,1,347,0,2025-07-23 23:42:39.222396
134,1419,2022-10-31,cf191a24-8d59-436c-8a96-1e4762e42fc7,14,164,0,2025-07-23 23:42:39.223216
135,3695,2024-02-17,d30cc99a-6f89-4821-a082-019033401add,1,233,0,2025-07-23 23:42:39.224020
136,1546,2023-10-02,4e2ef6f2-390c-4d77-9915-502679cf82cb,14,238,1,2025-07-23 23:42:39.224792
137,130,2024-08-02,77c39972-d8bd-4b14-ba87-52cba948d9a6,1,541,0,2025-07-23 23:42:39.225562
138,3654,2023-11-06,bd33108f-2db7-4ee2-8b64-654a08f3eab0,15,663,0,2025-07-23 23:42:39.226381
139,2668,2023-09-07,b18733f5-15d7-4144-b413-8c492c263fef,11,121,1,2025-07-23 23:42:39.227196
140,1571,2023-02-26,1e814aec-08c5-4579-afb6-daee41d4106b,4,550,0,2025-07-23 23:42:39.227999
141,4169,2023-10-04,5c425b2e-fa5e-44e4-abd4-51fbe6485d7a,5,782,0,2025-07-23 23:42:39.228779
142,3561,2023-04-19,9f0bccff-4610-4e54-8e29-a39c4e350c8c,8,722,1,2025-07-23 23:42:39.229690
143,1422,2022-06-01,35b26d61-bbf3-4402-8f04-2fb08bb36c24,7,504,1,2025-07-23 23:42:39.230488
144,229,2024-06-22,e45f482f-1db4-4e40-aaa9-296b01e7bec3,14,572,1,2025-07-23 23:42:39.231358
145,3496,2024-03-01,4f29e21f-5f30-4d43-b620-29c0d53548fe,5,608,1,2025-07-23 23:42:39.232545
146,2678,2022-03-20,aabb18bf-3e5b-41ee-a192-ae5e44a0ff71,10,459,0,2025-07-23 23:42:39.233468
147,2362,2023-11-14,22946a79-e95f-4b01-af9d-796a5d4775b0,8,770,1,2025-07-23 23:42:39.234280
148,3369,2024-07-06,3782ac9c-eabb-425a-9880-7c0514d51345,5,732,0,2025-07-23 23:42:39.235069
149,1181,2023-12-18,7a4e98f9-4f3e-4d98-802d-d9a435ea125b,5,777,1,2025-07-23 23:42:39.235883
150,936,2023-12-01,01576ab5-b97d-454d-b881-617c058079e4,12,696,0,2025-07-23 23:42:39.236655
151,4910,2023-01-27,e98a7998-f770-4a05-8c86-dca857798665,1,224,0,2025-07-23 23:42:39.237446
152,4922,2022-06-06,6f158f55-306b-41e1-b5af-5516604e5bb7,4,290,0,2025-07-23 23:42:39.238278
153,3994,2022-10-31,cc011c32-b3d7-4e02-9b98-e4aaef894de0,13,432,1,2025-07-23 23:42:39.239078
154,1633,2023-06-13,5235dab2-f21f-4666-ae70-2b1a417160d1,4,361,0,2025-07-23 23:42:39.239895
155,4114,2023-01-21,5b0c4add-6b4d-4c43-833d-ebc0d90551b0,6,646,0,2025-07-23 23:42:39.240660
156,3758,2024-04-25,ddd03fe2-be48-43b9-b614-048c7699cdbd,1,746,0,2025-07-23 23:42:39.241476
157,2058,2022-03-16,62342275-f4d4-4463-b318-fbd0579712c9,2,518,1,2025-07-23 23:42:39.242272
158,1487,2023-11-23,42f7738f-837b-4f8f-bcbb-7aa06f59b975,11,47,0,2025-07-23 23:42:39.243087
159,2131,2022-10-25,49401f53-c270-4ed8-8e81-a42a7ad4ad3c,10,139,1,2025-07-23 23:42:39.243902
160,1046,2022-10-07,5c1cc5db-4e59-4035-beb1-85adcc3e3a16,6,495,0,2025-07-23 23:42:39.244654
161,4015,2022-09-07,8be70d5a-2803-424e-ac79-207cd4376855,7,254,0,2025-07-23 23:42:39.245446
162,4460,2024-12-14,cf17e6b3-c3d1-48c4-b2d4-e78cc2fc04f5,6,225,1,2025-07-23 23:42:39.246470
163,730,2024-08-22,3a116983-ccd2-4e42-93e8-bc415642472f,6,367,0,2025-07-23 23:42:39.247370
164,4192,2024-09-30,34c5ffb3-b10d-4050-913e-5bc23a0eec85,13,674,1,2025-07-23 23:42:39.248199
165,2962,2023-07-17,79920a2a-f71f-4fb0-b84b-3b24c95fc8a2,6,435,0,2025-07-23 23:42:39.249033
166,686,2023-07-26,26e09f51-1db2-43f1-860c-4e03e282b8ec,7,432,1,2025-07-23 23:42:39.249845
167,254,2023-06-16,de4a2177-5860-4b39-ae82-3cd0da4240e2,8,615,1,2025-07-23 23:42:39.250658
168,1633,2024-09-16,e622c242-1024-4944-84f1-7da7ec3bdd4e,5,240,1,2025-07-23 23:42:39.251436
169,3846,2024-01-23,2d285e23-090b-4567-8426-a5b3d91a3c65,10,732,0,2025-07-23 23:42:39.252233
170,365,2024-04-29,85bd6c4e-fd43-425a-a64f-d92493715acb,11,515,0,2025-07-23 23:42:39.253031
171,3408,2024-01-23,5ecc2f6e-c8a5-4fc4-aa8e-10bbf9e119ae,10,136,1,2025-07-23 23:42:39.253837
172,3933,2024-05-31,f30dba49-dbff-4246-af62-6b877ffe1c5a,9,677,1,2025-07-23 23:42:39.254594
173,4845,2024-05-03,716b35d5-cb3d-4c35-b3fc-12788ecad375,5,378,1,2025-07-23 23:42:39.255414
174,2813,2022-06-30,fc62561a-d41e-4eea-96c8-db625ae7ac14,8,111,1,2025-07-23 23:42:39.256222
175,724,2023-06-08,536903e0-1be7-4c6b-bf40-8805d7a1077c,11,676,0,2025-07-23 23:42:39.257027
176,781,2024-07-12,83783507-4b03-4ce2-aba4-45ad9fdd2bd7,3,460,1,2025-07-23 23:42:39.257824
177,4377,2023-12-28,2286d673-3de4-44ff-a1d7-1d943a4a0798,11,323,1,2025-07-23 23:42:39.258573
178,2291,2023-07-12,d2e32e9a-ff3e-4e97-b510-df3465ce2411,7,279,1,2025-07-23 23:42:39.259379
179,511,2024-11-01,d4b5a40b-746e-400e-a845-fb55c1a77d65,10,665,1,2025-07-23 23:42:39.260201
180,2530,2023-06-10,ba1f43de-0527-4a5a-b0c8-6489ea9a2204,15,35,0,2025-07-23 23:42:39.260988
181,4614,2024-01-18,a22bb664-3883-4a3e-982d-2eebdea23c35,11,679,1,2025-07-23 23:42:39.261713
182,3062,2023-11-05,6430bb6c-05d7-41f0-9c94-f26d0dd30c06,12,648,1,2025-07-23 23:42:39.262494
183,3152,2022-06-28,51bd55b5-19ab-4079-9dca-805483a945af,6,856,1,2025-07-23 23:42:39.263292
184,522,2024-10-21,33154b7f-c015-4b13-8a59-a0dd46d6288a,9,463,1,2025-07-23 23:42:39.264068
185,1037,2022-03-02,f23a3569-6974-442b-ab7f-983082d7ab55,3,581,0,2025-07-23 23:42:39.264869
186,699,2023-09-02,7f7efe45-18b1-4f96-a9de-b4b9f5f83abd,9,471,1,2025-07-23 23:42:39.265654
187,4782,2023-01-26,5d4e3b7d-2e8c-4c01-868e-2cf78b1bdf5c,1,411,1,2025-07-23 23:42:39.266479
188,3953,2023-09-11,bb29edae-adb8-4331-b0c1-2b6c4d44789f,4,481,1,2025-07-23 23:42:39.267250
189,1257,2024-12-15,13cedc3c-d2e3-4cad-b55a-b72dcb256935,12,632,1,2025-07-23 23:42:39.268320
190,2861,2022-09-24,213a1cbc-0869-4e66-a5a1-ccdd23984e50,8,124,1,2025-07-23 23:42:39.269248
191,1350,2023-02-12,f451edc3-d7bb-49c1-8d69-d05b14e4d87a,7,362,0,2025-07-23 23:42:39.270295
192,1971,2023-11-03,11e3f5ad-8f4b-4b43-8f91-588ee5177a5e,6,261,1,2025-07-23 23:42:39.271271
193,710,2024-06-14,1c88d0e3-bc97-4511-bfdb-ba207b08fed1,12,47,0,2025-07-23 23:42:39.272079
194,3763,2023-12-04,954b4b65-2faf-4005-8775-a6411c32a8ad,10,278,1,2025-07-23 23:42:39.272894
195,2714,2024-02-27,3f7e4aca-e64a-49ef-beb6-8b4b52ff6e31,1,625,0,2025-07-23 23:42:39.273669
196,627,2022-12-06,a769dc57-deab-4c5b-9738-ec4e88891a48,4,61,0,2025-07-23 23:42:39.274465
197,3725,2024-10-07,ad417d5d-947e-4ea3-bc62-c35e0a38217f,14,697,1,2025-07-23 23:42:39.275270
198,1565,2024-11-21,d5066b20-03d2-4d3a-b952-0602c50bf990,13,584,1,2025-07-23 23:42:39.276072
199,4132,2022-09-18,b7e86f0c-3958-42da-a62f-b388d84341ca,12,117,0,2025-07-23 23:42:39.276912
200,2513,2023-09-07,a7da0a89-6b9d-4c92-b645-e6a8d038946e,1,33,1,2025-07-23 23:42:39.277690
201,3511,2024-06-15,bf53c8e5-0c5b-42f3-a167-595b88caa939,13,311,1,2025-07-23 23:42:39.278477
202,1867,2024-06-03,9830e694-4098-46e5-9a9c-5a7e398acead,13,365,0,2025-07-23 23:42:39.279298
203,4309,2024-08-28,f17ac040-1c00-463f-90c4-0c6e65a72e86,14,868,1,2025-07-23 23:42:39.280113
204,2668,2024-05-27,81648a23-bedf-4b1b-887c-2d35653048d4,5,114,1,2025-07-23 23:42:39.280992
205,420,2023-12-15,69e46fde-1716-4d49-8f5f-cbad1ffbbb9f,8,896,1,2025-07-23 23:42:39.281792
206,3189,2024-05-24,4800ac52-b1da-4ce3-bf37-c19a42823031,14,580,0,2025-07-23 23:42:39.282561
207,4470,2023-05-13,29800dcf-cca5-442b-b7b8-528cee279b2f,15,327,0,2025-07-23 23:42:39.283388
208,2905,2024-02-06,b0813d8f-9325-4b5f-a823-2df04789688f,1,121,0,2025-07-23 23:42:39.284209
209,3156,2022-09-17,a289acb8-a87f-47f6-8892-f8055d8fc48c,5,113,0,2025-07-23 23:42:39.285017
210,4942,2023-03-18,ec32a51c-e422-46d9-9fca-dca94c9826c3,15,772,1,2025-07-23 23:42:39.285786
211,3961,2024-08-26,09e712f6-b0a8-400b-8798-ed873a144264,12,512,0,2025-07-23 23:42:39.286582
212,1859,2023-11-10,71150def-6f88-46c6-b1fb-541f76d4640b,5,33,0,2025-07-23 23:42:39.287419
213,1459,2023-11-07,1a84f2ee-f680-42b5-8e5d-279d5785e29f,15,321,0,2025-07-23 23:42:39.288230
214,2102,2024-12-22,e653a536-eefd-4287-b225-36e1d22d043d,2,652,1,2025-07-23 23:42:39.289068
215,1945,2023-09-05,3509d3cd-fa60-4ebc-b04a-79c585139e14,12,771,1,2025-07-23 23:42:39.289885
216,155,2022-07-09,f2605c13-b768-4001-a05f-e8557fdb3f10,11,391,0,2025-07-23 23:42:39.290654
217,2100,2023-03-16,8a7c699e-eeb5-4677-927f-8cdd862ca09f,7,584,1,2025-07-23 23:42:39.291449
218,4005,2023-12-05,54ab98de-c264-4a38-a95f-254af218135c,4,693,0,2025-07-23 23:42:39.292260
219,179,2023-12-26,30250684-203c-46ff-88ff-5e6b97aacae3,13,595,0,2025-07-23 23:42:39.293047
220,1611,2023-09-12,7070df37-840e-4ce3-817b-6d16816a9a55,6,660,1,2025-07-23 23:42:39.293845
221,997,2023-06-26,383fce17-159d-4868-b2cb-ff84a59645ce,10,419,1,2025-07-23 23:42:39.294629
222,3252,2022-11-27,fa70e995-3db2-4ebd-89b6-7e757726b340,7,454,0,2025-07-23 23:42:39.295451
223,555,2024-09-25,7ef3afae-fb0c-4afa-8456-fe3551a01ea6,11,230,1,2025-07-23 23:42:39.296335
224,4868,2023-10-18,fdaf5436-4b47-4ed6-b664-d4ab5fd0e4bf,9,211,1,2025-07-23 23:42:39.297133
225,4467,2022-12-06,59cf71da-7e9f-413f-98dd-f9c6272a5b92,3,95,0,2025-07-23 23:42:39.298026
226,1130,2023-10-31,2660c07d-8842-472d-97af-fe3c093f38e1,9,129,0,2025-07-23 23:42:39.298893
227,2842,2023-12-16,2fb1abc2-642c-402a-b45a-93fdda865def,4,712,1,2025-07-23 23:42:39.299466
228,3494,2023-09-14,249f1bbf-028b-4cf1-9e54-b5fd5a914167,11,324,1,2025-07-23 23:42:39.300083
