shipment_key,sales_key,warehouse_key,shipment_date,delivery_date,delay_days,shipping_cost,created_at
64,3020,11,2022-09-29,2022-09-30,1,25.28,2025-07-23 23:42:41.303431
65,4131,2,2024-06-04,2024-06-07,3,5.01,2025-07-23 23:42:41.305075
66,2470,10,2023-05-02,2023-05-03,1,6.78,2025-07-23 23:42:41.306503
67,4650,20,2023-10-13,2023-10-16,3,31.57,2025-07-23 23:42:41.307946
68,1182,9,2024-02-14,2024-02-17,3,18.16,2025-07-23 23:42:41.309370
69,2441,12,2024-06-26,2024-06-29,3,48.62,2025-07-23 23:42:41.310741
70,3336,4,2023-06-09,2023-06-10,1,29.38,2025-07-23 23:42:41.312189
71,2060,16,2024-03-12,2024-03-12,0,48.96,2025-07-23 23:42:41.313587
72,4757,12,2024-03-18,2024-03-22,4,48.39,2025-07-23 23:42:41.314980
73,3397,17,2023-09-16,2023-09-19,3,40.14,2025-07-23 23:42:41.316348
74,1887,8,2022-01-23,2022-01-26,3,22.44,2025-07-23 23:42:41.317699
75,826,10,2022-07-16,2022-07-16,0,30.02,2025-07-23 23:42:41.319063
76,3251,20,2022-11-18,2022-11-21,3,5.41,2025-07-23 23:42:41.320464
77,1762,19,2024-10-09,2024-10-09,0,43.31,2025-07-23 23:42:41.321868
78,4217,1,2024-06-05,2024-06-07,2,39.17,2025-07-23 23:42:41.323305
79,2312,8,2022-11-29,2022-12-01,2,18.89,2025-07-23 23:42:41.324658
80,138,4,2022-12-15,2022-12-19,4,33.73,2025-07-23 23:42:41.326021
81,3059,10,2023-02-01,2023-02-03,2,15.58,2025-07-23 23:42:41.327459
82,1105,15,2022-06-24,2022-06-25,1,25.42,2025-07-23 23:42:41.328893
83,2838,2,2023-09-14,2023-09-16,2,48.79,2025-07-23 23:42:41.330299
84,2387,20,2023-08-02,2023-08-02,0,24.24,2025-07-23 23:42:41.331671
85,4227,1,2023-12-29,2024-01-03,5,16.87,2025-07-23 23:42:41.333008
86,3177,12,2023-05-05,2023-05-08,3,47.89,2025-07-23 23:42:41.334474
87,4012,16,2022-03-09,2022-03-14,5,34.87,2025-07-23 23:42:41.335820
88,3704,13,2022-01-20,2022-01-25,5,47.94,2025-07-23 23:42:41.337224
89,1799,9,2023-03-13,2023-03-17,4,49.03,2025-07-23 23:42:41.338593
90,3140,3,2022-11-30,2022-12-05,5,41.02,2025-07-23 23:42:41.340023
91,845,9,2024-08-08,2024-08-13,5,19.02,2025-07-23 23:42:41.341380
92,1881,7,2022-03-26,2022-03-29,3,15.91,2025-07-23 23:42:41.342693
93,1054,14,2024-05-31,2024-06-04,4,17.51,2025-07-23 23:42:41.344037
94,3512,3,2024-09-24,2024-09-26,2,8.14,2025-07-23 23:42:41.345440
95,225,2,2024-09-13,2024-09-18,5,20.53,2025-07-23 23:42:41.346792
96,2450,13,2022-05-01,2022-05-01,0,41.1,2025-07-23 23:42:41.348158
97,3829,14,2024-01-28,2024-02-01,4,37.92,2025-07-23 23:42:41.349541
98,1468,8,2024-11-14,2024-11-19,5,31.41,2025-07-23 23:42:41.350939
99,4906,20,2022-09-15,2022-09-15,0,21.94,2025-07-23 23:42:41.352399
100,1094,3,2023-12-24,2023-12-24,0,43.68,2025-07-23 23:42:41.353780
101,191,8,2024-03-05,2024-03-07,2,28.39,2025-07-23 23:42:41.355250
102,930,17,2023-12-17,2023-12-20,3,20.74,2025-07-23 23:42:41.356613
103,2116,17,2024-08-01,2024-08-03,2,27.75,2025-07-23 23:42:41.358007
104,4789,8,2022-11-20,2022-11-23,3,40.49,2025-07-23 23:42:41.359375
105,4192,2,2023-11-20,2023-11-20,0,20.53,2025-07-23 23:42:41.360706
106,2441,1,2024-06-24,2024-06-28,4,40.51,2025-07-23 23:42:41.362075
107,329,17,2024-12-19,2024-12-24,5,17.44,2025-07-23 23:42:41.363439
108,923,3,2024-01-05,2024-01-10,5,25.0,2025-07-23 23:42:41.364854
109,308,14,2024-12-12,2024-12-17,5,16.94,2025-07-23 23:42:41.366245
110,4823,2,2022-01-07,2022-01-10,3,44.39,2025-07-23 23:42:41.367607
111,3602,19,2023-04-04,2023-04-04,0,43.57,2025-07-23 23:42:41.369007
112,194,15,2023-10-19,2023-10-23,4,22.0,2025-07-23 23:42:41.370383
113,1148,8,2024-12-27,2024-12-29,2,27.04,2025-07-23 23:42:41.371714
114,57,20,2024-03-13,2024-03-15,2,32.42,2025-07-23 23:42:41.373094
115,4272,19,2022-02-18,2022-02-23,5,31.73,2025-07-23 23:42:41.374471
116,1484,18,2024-05-15,2024-05-19,4,36.47,2025-07-23 23:42:41.375884
117,4067,20,2022-07-08,2022-07-08,0,19.15,2025-07-23 23:42:41.377267
118,1487,8,2023-02-22,2023-02-23,1,11.74,2025-07-23 23:42:41.378657
119,838,19,2024-05-27,2024-06-01,5,29.05,2025-07-23 23:42:41.380027
120,3390,1,2024-04-27,2024-05-01,4,26.68,2025-07-23 23:42:41.381390
121,3911,20,2023-08-22,2023-08-27,5,45.89,2025-07-23 23:42:41.382744
122,3415,18,2022-07-22,2022-07-23,1,41.17,2025-07-23 23:42:41.384145
123,2546,3,2022-08-22,2022-08-25,3,22.69,2025-07-23 23:42:41.385487
124,2683,10,2024-02-06,2024-02-10,4,14.61,2025-07-23 23:42:41.386831
125,382,16,2024-08-27,2024-08-31,4,24.21,2025-07-23 23:42:41.388158
126,3703,15,2024-05-09,2024-05-13,4,38.18,2025-07-23 23:42:41.389540
127,868,11,2022-07-03,2022-07-08,5,21.95,2025-07-23 23:42:41.390927
128,4329,2,2024-06-05,2024-06-10,5,20.8,2025-07-23 23:42:41.392261
129,3163,17,2023-01-09,2023-01-11,2,48.44,2025-07-23 23:42:41.393618
130,3624,4,2022-01-03,2022-01-08,5,29.31,2025-07-23 23:42:41.394999
131,3585,8,2022-08-20,2022-08-21,1,18.27,2025-07-23 23:42:41.396456
132,3547,8,2023-02-18,2023-02-23,5,35.63,2025-07-23 23:42:41.397842
133,3279,15,2023-07-08,2023-07-12,4,8.74,2025-07-23 23:42:41.399605
134,1515,6,2023-06-07,2023-06-08,1,30.29,2025-07-23 23:42:41.401307
135,1483,13,2024-04-05,2024-04-06,1,39.98,2025-07-23 23:42:41.402674
136,838,15,2024-05-26,2024-05-31,5,34.66,2025-07-23 23:42:41.404114
137,255,10,2023-11-23,2023-11-26,3,5.94,2025-07-23 23:42:41.405507
138,4366,14,2024-10-25,2024-10-30,5,33.84,2025-07-23 23:42:41.406874
139,3704,10,2022-01-18,2022-01-23,5,47.36,2025-07-23 23:42:41.408251
140,2125,18,2022-08-13,2022-08-17,4,30.95,2025-07-23 23:42:41.409977
141,4441,17,2024-08-22,2024-08-27,5,9.07,2025-07-23 23:42:41.411381
142,1476,17,2022-04-26,2022-04-29,3,24.17,2025-07-23 23:42:41.412775
143,3008,19,2024-01-23,2024-01-25,2,31.88,2025-07-23 23:42:41.414899
144,985,12,2023-07-08,2023-07-13,5,32.84,2025-07-23 23:42:41.416309
145,1815,13,2022-09-04,2022-09-09,5,28.42,2025-07-23 23:42:41.417707
146,4682,7,2024-08-26,2024-08-29,3,21.72,2025-07-23 23:42:41.419064
147,4081,3,2022-04-09,2022-04-09,0,24.51,2025-07-23 23:42:41.420436
148,206,7,2023-08-25,2023-08-25,0,33.56,2025-07-23 23:42:41.421798
149,4967,9,2024-10-13,2024-10-14,1,46.59,2025-07-23 23:42:41.423165
150,2386,10,2024-08-11,2024-08-14,3,26.93,2025-07-23 23:42:41.424513
151,716,10,2022-12-02,2022-12-04,2,30.42,2025-07-23 23:42:41.425924
152,530,2,2024-06-14,2024-06-19,5,42.26,2025-07-23 23:42:41.427273
153,3798,2,2022-10-31,2022-10-31,0,40.67,2025-07-23 23:42:41.428650
154,1724,14,2023-06-18,2023-06-18,0,10.38,2025-07-23 23:42:41.430012
155,2208,7,2022-08-23,2022-08-27,4,34.56,2025-07-23 23:42:41.431368
156,4669,10,2022-03-11,2022-03-13,2,36.07,2025-07-23 23:42:41.432694
157,860,19,2024-01-03,2024-01-03,0,35.97,2025-07-23 23:42:41.434276
158,1355,14,2024-10-01,2024-10-01,0,42.69,2025-07-23 23:42:41.435660
159,4504,15,2023-05-30,2023-06-02,3,6.83,2025-07-23 23:42:41.437015
160,4827,1,2022-11-26,2022-12-01,5,16.11,2025-07-23 23:42:41.438340
161,4689,1,2024-10-12,2024-10-14,2,14.85,2025-07-23 23:42:41.439669
162,4177,3,2025-01-02,2025-01-02,0,5.33,2025-07-23 23:42:41.441008
163,58,2,2022-07-08,2022-07-12,4,48.67,2025-07-23 23:42:41.442330
164,3944,2,2022-12-11,2022-12-16,5,42.07,2025-07-23 23:42:41.443661
165,382,1,2024-08-27,2024-08-28,1,19.46,2025-07-23 23:42:41.444988
166,1211,2,2022-02-15,2022-02-19,4,15.11,2025-07-23 23:42:41.446578
167,2670,12,2024-11-19,2024-11-23,4,48.13,2025-07-23 23:42:41.448010
168,4315,13,2022-11-10,2022-11-13,3,32.2,2025-07-23 23:42:41.449380
169,3811,18,2024-08-16,2024-08-17,1,41.36,2025-07-23 23:42:41.450721
170,1277,17,2023-05-08,2023-05-08,0,18.24,2025-07-23 23:42:41.452088
171,3114,3,2022-06-22,2022-06-25,3,26.01,2025-07-23 23:42:41.453414
172,3783,6,2024-12-31,2024-12-31,0,49.54,2025-07-23 23:42:41.454723
173,4109,11,2022-03-31,2022-04-05,5,7.51,2025-07-23 23:42:41.456091
174,162,10,2022-03-21,2022-03-24,3,26.0,2025-07-23 23:42:41.457422
175,2075,16,2022-01-09,2022-01-12,3,45.8,2025-07-23 23:42:41.458745
176,137,11,2023-12-25,2023-12-29,4,35.32,2025-07-23 23:42:41.460125
177,4097,20,2022-04-06,2022-04-06,0,44.43,2025-07-23 23:42:41.461459
178,1542,18,2022-10-13,2022-10-13,0,42.93,2025-07-23 23:42:41.462757
179,4868,17,2024-09-12,2024-09-17,5,16.61,2025-07-23 23:42:41.464141
180,3042,9,2023-01-29,2023-02-03,5,35.48,2025-07-23 23:42:41.465482
181,4089,11,2022-04-27,2022-04-29,2,40.49,2025-07-23 23:42:41.466831
182,2555,2,2022-01-06,2022-01-09,3,14.21,2025-07-23 23:42:41.468164
183,4486,8,2022-02-09,2022-02-10,1,41.68,2025-07-23 23:42:41.469524
184,253,5,2024-05-12,2024-05-16,4,29.9,2025-07-23 23:42:41.470880
185,734,7,2023-09-17,2023-09-17,0,27.05,2025-07-23 23:42:41.472221
186,1825,19,2022-04-24,2022-04-24,0,47.66,2025-07-23 23:42:41.473551
187,4234,12,2023-08-29,2023-08-30,1,35.38,2025-07-23 23:42:41.474911
188,1652,4,2022-09-30,2022-09-30,0,16.39,2025-07-23 23:42:41.476368
189,1887,17,2022-01-22,2022-01-22,0,35.24,2025-07-23 23:42:41.477689
190,1211,3,2022-02-14,2022-02-19,5,15.67,2025-07-23 23:42:41.479060
191,214,5,2024-04-25,2024-04-30,5,6.0,2025-07-23 23:42:41.480410
192,2243,8,2023-02-21,2023-02-25,4,14.45,2025-07-23 23:42:41.481711
193,4723,12,2024-08-07,2024-08-07,0,25.02,2025-07-23 23:42:41.483046
194,3332,13,2024-09-16,2024-09-19,3,48.05,2025-07-23 23:42:41.484390
195,4634,10,2023-01-25,2023-01-28,3,23.08,2025-07-23 23:42:41.485712
196,3844,14,2022-07-17,2022-07-19,2,12.79,2025-07-23 23:42:41.487044
197,3383,18,2023-09-29,2023-09-29,0,46.91,2025-07-23 23:42:41.488394
198,2956,8,2024-05-17,2024-05-21,4,14.52,2025-07-23 23:42:41.489719
199,4388,3,2024-03-09,2024-03-14,5,18.85,2025-07-23 23:42:41.491250
200,788,7,2024-11-27,2024-12-02,5,16.64,2025-07-23 23:42:41.492414
201,3534,9,2023-12-21,2023-12-21,0,44.59,2025-07-23 23:42:41.493562
202,1603,16,2022-06-07,2022-06-09,2,20.8,2025-07-23 23:42:41.494694
203,2191,14,2024-05-27,2024-06-01,5,40.52,2025-07-23 23:42:41.495881
204,579,16,2022-06-15,2022-06-15,0,26.74,2025-07-23 23:42:41.497019
205,4676,13,2022-06-18,2022-06-18,0,31.5,2025-07-23 23:42:41.498156
206,3661,1,2023-05-15,2023-05-18,3,44.85,2025-07-23 23:42:41.499283
207,4684,19,2022-10-20,2022-10-21,1,5.26,2025-07-23 23:42:41.500400
208,4058,14,2023-12-12,2023-12-14,2,40.99,2025-07-23 23:42:41.501541
209,2498,4,2023-06-18,2023-06-21,3,24.45,2025-07-23 23:42:41.502658
210,2310,18,2022-09-30,2022-10-01,1,36.77,2025-07-23 23:42:41.503813
211,4313,15,2023-11-14,2023-11-18,4,35.15,2025-07-23 23:42:41.505122
212,79,6,2022-04-24,2022-04-26,2,46.42,2025-07-23 23:42:41.506321
213,3941,6,2022-03-05,2022-03-08,3,24.51,2025-07-23 23:42:41.507487
214,2528,15,2022-05-15,2022-05-19,4,18.12,2025-07-23 23:42:41.508715
215,614,18,2022-11-01,2022-11-03,2,17.54,2025-07-23 23:42:41.509886
216,4180,7,2022-04-13,2022-04-16,3,28.71,2025-07-23 23:42:41.511026
217,2218,5,2022-02-07,2022-02-09,2,8.81,2025-07-23 23:42:41.512191
218,1628,13,2022-04-30,2022-05-01,1,6.74,2025-07-23 23:42:41.513324
219,4912,4,2024-01-28,2024-02-02,5,15.54,2025-07-23 23:42:41.514666
220,1303,19,2022-09-10,2022-09-10,0,41.72,2025-07-23 23:42:41.515977
221,2169,13,2023-02-26,2023-02-27,1,28.67,2025-07-23 23:42:41.517302
222,1015,11,2024-07-20,2024-07-22,2,27.82,2025-07-23 23:42:41.518616
223,2875,12,2024-10-09,2024-10-09,0,49.58,2025-07-23 23:42:41.519986
224,4721,9,2024-11-28,2024-11-29,1,35.89,2025-07-23 23:42:41.521324
225,745,16,2024-08-01,2024-08-05,4,39.08,2025-07-23 23:42:41.522649
226,2309,20,2024-08-16,2024-08-19,3,41.69,2025-07-23 23:42:41.523985
227,671,4,2024-04-30,2024-04-30,0,22.85,2025-07-23 23:42:41.525329
228,4865,13,2022-10-13,2022-10-15,2,8.39,2025-07-23 23:42:41.526644
229,4209,12,2023-03-01,2023-03-05,4,21.41,2025-07-23 23:42:41.527986
230,4828,4,2023-01-07,2023-01-12,5,20.63,2025-07-23 23:42:41.529352
231,4364,20,2022-07-05,2022-07-06,1,26.78,2025-07-23 23:42:41.530675
232,4406,3,2024-10-10,2024-10-11,1,32.71,2025-07-23 23:42:41.532111
233,1009,17,2022-05-06,2022-05-11,5,26.69,2025-07-23 23:42:41.533257
234,71,10,2024-05-04,2024-05-08,4,26.3,2025-07-23 23:42:41.534409
235,1063,7,2023-12-24,2023-12-28,4,46.91,2025-07-23 23:42:41.535550
236,3210,5,2024-09-24,2024-09-29,5,8.83,2025-07-23 23:42:41.536669
237,4039,6,2022-09-12,2022-09-13,1,21.38,2025-07-23 23:42:41.537817
238,4278,8,2023-05-25,2023-05-27,2,42.49,2025-07-23 23:42:41.538947
239,408,7,2024-08-26,2024-08-26,0,14.42,2025-07-23 23:42:41.540102
240,173,11,2022-07-17,2022-07-17,0,9.21,2025-07-23 23:42:41.541237
241,2149,5,2024-04-07,2024-04-07,0,49.15,2025-07-23 23:42:41.542382
242,3771,16,2024-01-29,2024-02-02,4,26.07,2025-07-23 23:42:41.543578
243,2998,19,2022-01-28,2022-01-31,3,32.43,2025-07-23 23:42:41.544702
244,577,19,2023-05-16,2023-05-21,5,30.07,2025-07-23 23:42:41.545858
245,4260,4,2024-06-02,2024-06-02,0,13.53,2025-07-23 23:42:41.546989
246,4103,11,2024-02-06,2024-02-08,2,28.38,2025-07-23 23:42:41.548116
247,1275,20,2023-07-25,2023-07-30,5,43.86,2025-07-23 23:42:41.549267
248,728,19,2024-05-29,2024-06-03,5,36.53,2025-07-23 23:42:41.550387
249,1606,6,2024-12-21,2024-12-23,2,7.11,2025-07-23 23:42:41.551503
250,1843,9,2022-02-05,2022-02-07,2,6.88,2025-07-23 23:42:41.552627
251,603,1,2024-11-24,2024-11-29,5,34.48,2025-07-23 23:42:41.553776
252,2125,14,2022-08-13,2022-08-16,3,37.08,2025-07-23 23:42:41.554892
253,4320,10,2023-09-01,2023-09-03,2,29.8,2025-07-23 23:42:41.556024
254,2938,8,2022-01-02,2022-01-07,5,43.39,2025-07-23 23:42:41.557227
255,1469,15,2024-12-29,2024-12-31,2,24.41,2025-07-23 23:42:41.558362
256,3681,8,2023-07-24,2023-07-25,1,14.66,2025-07-23 23:42:41.559491
257,3860,20,2024-11-10,2024-11-14,4,32.65,2025-07-23 23:42:41.560612
258,403,12,2023-09-23,2023-09-27,4,15.64,2025-07-23 23:42:41.561736
259,375,10,2022-11-08,2022-11-08,0,48.74,2025-07-23 23:42:41.562875
260,2167,6,2024-10-01,2024-10-02,1,48.31,2025-07-23 23:42:41.564038
261,4435,7,2024-10-22,2024-10-22,0,35.15,2025-07-23 23:42:41.565210
262,525,17,2023-04-28,2023-04-28,0,48.59,2025-07-23 23:42:41.566338
263,4470,9,2024-08-06,2024-08-07,1,18.63,2025-07-23 23:42:41.567452
264,3775,17,2024-01-15,2024-01-19,4,29.39,2025-07-23 23:42:41.568669
265,2367,3,2023-12-26,2023-12-31,5,38.14,2025-07-23 23:42:41.569827
266,919,10,2023-08-28,2023-09-01,4,37.89,2025-07-23 23:42:41.570960
267,3234,2,2022-01-25,2022-01-29,4,29.54,2025-07-23 23:42:41.572116
268,3668,1,2023-12-11,2023-12-16,5,48.22,2025-07-23 23:42:41.573247
269,3436,1,2023-05-23,2023-05-23,0,22.76,2025-07-23 23:42:41.574373
270,1685,18,2024-10-12,2024-10-13,1,22.25,2025-07-23 23:42:41.575512
271,1288,20,2024-09-22,2024-09-27,5,17.51,2025-07-23 23:42:41.576642
272,3009,14,2024-09-25,2024-09-30,5,45.81,2025-07-23 23:42:41.577809
273,4272,14,2022-02-17,2022-02-22,5,45.78,2025-07-23 23:42:41.579002
274,1438,15,2022-12-06,2022-12-10,4,33.37,2025-07-23 23:42:41.580135
275,3205,2,2022-11-03,2022-11-05,2,10.92,2025-07-23 23:42:41.581252
276,2934,5,2024-06-14,2024-06-19,5,5.92,2025-07-23 23:42:41.582379
277,1697,7,2023-11-11,2023-11-14,3,47.77,2025-07-23 23:42:41.583494
278,4110,15,2024-08-20,2024-08-22,2,18.64,2025-07-23 23:42:41.584626
279,3973,7,2022-08-27,2022-08-27,0,32.22,2025-07-23 23:42:41.585750
280,3493,8,2024-02-01,2024-02-05,4,7.09,2025-07-23 23:42:41.586891
281,1901,13,2022-12-05,2022-12-07,2,44.36,2025-07-23 23:42:41.588007
282,2223,10,2022-01-22,2022-01-22,0,10.88,2025-07-23 23:42:41.589177
283,4235,11,2022-04-03,2022-04-05,2,26.98,2025-07-23 23:42:41.590376
284,937,1,2024-01-26,2024-01-28,2,16.47,2025-07-23 23:42:41.591530
285,3024,5,2023-06-24,2023-06-29,5,43.41,2025-07-23 23:42:41.592678
286,4498,9,2024-04-04,2024-04-06,2,47.1,2025-07-23 23:42:41.593827
287,2515,5,2022-02-08,2022-02-11,3,31.37,2025-07-23 23:42:41.594978
288,3854,3,2023-06-12,2023-06-17,5,7.18,2025-07-23 23:42:41.596119
289,1845,4,2024-05-05,2024-05-09,4,6.66,2025-07-23 23:42:41.597221
290,3107,20,2022-12-06,2022-12-06,0,21.53,2025-07-23 23:42:41.598305
291,4090,18,2022-04-12,2022-04-13,1,22.8,2025-07-23 23:42:41.599381
292,1535,12,2023-02-23,2023-02-23,0,19.67,2025-07-23 23:42:41.600504
293,2630,6,2024-11-26,2024-11-26,0,41.96,2025-07-23 23:42:41.601606
294,194,1,2023-10-21,2023-10-24,3,26.49,2025-07-23 23:42:41.602752
295,538,4,2022-05-26,2022-05-27,1,26.62,2025-07-23 23:42:41.603896
296,4705,5,2022-09-26,2022-09-27,1,41.77,2025-07-23 23:42:41.605016
297,3590,3,2023-03-12,2023-03-13,1,45.64,2025-07-23 23:42:41.606112
298,2548,16,2022-11-22,2022-11-25,3,24.32,2025-07-23 23:42:41.607234
299,1171,19,2024-12-18,2024-12-20,2,39.27,2025-07-23 23:42:41.608348
300,4971,7,2023-04-06,2023-04-09,3,26.31,2025-07-23 23:42:41.609491
301,3722,6,2024-05-29,2024-06-01,3,27.97,2025-07-23 23:42:41.610611
302,808,4,2024-08-23,2024-08-27,4,15.67,2025-07-23 23:42:41.611868
303,2327,19,2023-06-18,2023-06-19,1,33.16,2025-07-23 23:42:41.613024
304,1454,2,2023-07-10,2023-07-14,4,32.27,2025-07-23 23:42:41.614352
305,3991,12,2023-03-11,2023-03-15,4,23.75,2025-07-23 23:42:41.615691
306,1630,15,2024-08-26,2024-08-29,3,43.05,2025-07-23 23:42:41.617027
307,986,11,2023-10-28,2023-10-30,2,40.07,2025-07-23 23:42:41.618389
308,3856,20,2023-02-16,2023-02-19,3,41.88,2025-07-23 23:42:41.619900
309,1169,1,2022-01-12,2022-01-16,4,11.77,2025-07-23 23:42:41.621348
310,2293,20,2023-08-18,2023-08-21,3,7.08,2025-07-23 23:42:41.622658
311,3711,3,2024-07-07,2024-07-11,4,37.91,2025-07-23 23:42:41.624017
312,1510,11,2023-06-11,2023-06-11,0,33.63,2025-07-23 23:42:41.625368
313,4240,11,2023-08-13,2023-08-14,1,35.58,2025-07-23 23:42:41.626650
314,216,4,2024-08-01,2024-08-03,2,13.33,2025-07-23 23:42:41.627977
315,4716,9,2023-04-23,2023-04-28,5,40.25,2025-07-23 23:42:41.629345
316,1493,18,2024-12-15,2024-12-19,4,47.38,2025-07-23 23:42:41.630653
317,2331,7,2023-08-12,2023-08-15,3,33.42,2025-07-23 23:42:41.631987
318,3206,18,2023-10-19,2023-10-20,1,7.63,2025-07-23 23:42:41.633348
319,2408,1,2023-03-03,2023-03-06,3,42.99,2025-07-23 23:42:41.634678
320,2746,15,2023-05-29,2023-06-03,5,29.53,2025-07-23 23:42:41.636043
321,1222,11,2024-05-04,2024-05-04,0,19.61,2025-07-23 23:42:41.637417
322,3034,2,2022-03-06,2022-03-06,0,37.43,2025-07-23 23:42:41.638735
323,2612,15,2023-11-10,2023-11-10,0,15.38,2025-07-23 23:42:41.640121
324,1150,14,2022-05-31,2022-06-03,3,18.8,2025-07-23 23:42:41.641431
