campaign_key,campaign_id,campaign_name,campaign_type,start_date,end_date,budget
61,CAMPAIGN0061,Campaign 61,Radio,2021-07-02,2021-07-31,7664.13
62,CAMPAIGN0062,Campaign 62,Radio,2021-01-20,2021-03-14,46034.92
63,CAMPAIGN0063,Campaign 63,TV,2021-07-18,2021-08-13,44102.5
64,CAMPAIGN0064,Campaign 64,Radio,2021-08-21,2021-09-06,24424.36
65,CAMPAIGN0065,Campaign 65,Social Media,2020-01-15,2020-02-22,6757.39
66,CAMPAIGN0066,Campaign 66,Billboard,2022-01-05,2022-03-04,12958.59
67,CAMPAIGN0067,Campaign 67,TV,2022-02-13,2022-03-03,37553.43
68,CAMPAIGN0068,Campaign 68,Email,2019-07-06,2019-07-28,45876.43
69,CAMPAIGN0069,Campaign 69,TV,2021-10-20,2021-11-22,44807.6
70,CAMPAIGN0070,Campaign 70,Social Media,2021-02-28,2021-03-20,16826.23
71,CAMPAIGN0071,Campaign 71,Email,2022-03-24,2022-04-26,38617.12
72,CAMPAIGN0072,Campaign 72,Social Media,2020-08-20,2020-10-09,35247.87
73,CAMPAIGN0073,Campaign 73,Email,2022-10-31,2022-11-11,31686.2
74,CAMPAIGN0074,Campaign 74,Radio,2020-05-29,2020-06-05,45268.45
75,CAMPAIGN0075,Campaign 75,Email,2022-04-18,2022-06-03,31451.7
76,CAMPAIGN0076,Campaign 76,Email,2021-03-30,2021-05-11,17311.33
77,CAMPAIGN0077,Campaign 77,Billboard,2019-01-27,2019-03-19,45297.26
78,CAMPAIGN0078,Campaign 78,TV,2019-09-22,2019-11-09,32735.41
79,CAMPAIGN0079,Campaign 79,Social Media,2020-09-29,2020-11-22,20760.28
80,CAMPAIGN0080,Campaign 80,Radio,2020-04-30,2020-06-13,24181.05
81,CAMPAIGN0081,Campaign 81,Billboard,2020-11-06,2020-12-19,36667.59
82,CAMPAIGN0082,Campaign 82,Email,2020-12-16,2021-01-03,28416.1
83,CAMPAIGN0083,Campaign 83,Radio,2020-09-24,2020-10-04,16186.88
84,CAMPAIGN0084,Campaign 84,Radio,2020-06-20,2020-07-02,17671.2
85,CAMPAIGN0085,Campaign 85,TV,2021-08-27,2021-10-11,11687.91
86,CAMPAIGN0086,Campaign 86,Billboard,2021-06-09,2021-06-30,13636.21
87,CAMPAIGN0087,Campaign 87,Social Media,2020-05-27,2020-06-22,40114.24
88,CAMPAIGN0088,Campaign 88,Radio,2022-08-04,2022-09-19,11654.75
89,CAMPAIGN0089,Campaign 89,TV,2021-06-29,2021-08-18,12585.95
90,CAMPAIGN0090,Campaign 90,Billboard,2019-10-05,2019-10-22,40642.38
91,CAMPAIGN0091,Campaign 91,TV,2022-03-14,2022-04-06,5170.2
92,CAMPAIGN0092,Campaign 92,Billboard,2021-05-19,2021-07-09,48353.71
93,CAMPAIGN0093,Campaign 93,TV,2021-03-12,2021-04-24,31528.33
94,CAMPAIGN0094,Campaign 94,Social Media,2020-04-05,2020-05-16,18846.76
95,CAMPAIGN0095,Campaign 95,Email,2019-09-17,2019-11-14,31574.27
96,CAMPAIGN0096,Campaign 96,Billboard,2019-11-20,2019-12-12,40300.62
97,CAMPAIGN0097,Campaign 97,Billboard,2022-06-30,2022-08-12,30175.89
98,CAMPAIGN0098,Campaign 98,Social Media,2022-05-21,2022-07-10,24692.96
99,CAMPAIGN0099,Campaign 99,Radio,2019-01-25,2019-02-27,15441.97
100,CAMPAIGN0100,Campaign 100,Radio,2021-07-12,2021-07-31,11263.52
